index,app_name,r_id,review,review_sentiment,s_id,sentence,sentence_sentiment,feature,weight,rating
32,ubereats,937,"I just had some ice cream delivered to my clients house for getting under contract in the sale of their home..They were given a brown paper bag with the ice cream in it, and ‘Angel B' written On the bag, and THEN they were given a flyer for the driver's animal aromatherapy business...Excuse me!?!",0.0,5692,"i just had some ice cream delivered to my clients house for getting under contract in the sale of their home..they were given a brown paper bag with the ice cream in it, and ‘angel b' written on the bag, and then they were given a flyer for the driver's animal aromatherapy business...excuse me!?!",0.0,ice cream,2.057340818,1
33,ubereats,937,"I just had some ice cream delivered to my clients house for getting under contract in the sale of their home..They were given a brown paper bag with the ice cream in it, and ‘Angel B' written On the bag, and THEN they were given a flyer for the driver's animal aromatherapy business...Excuse me!?!",0.0,5695,"they said they were like, ‘is the ice cream therapy for our dog?",0.0,ice cream,2.057340818,1
38,grubhub,20,We ordered lunch at 10:30 with an 11:15 expected delivery.,-0.1,261,i'm sorry but $10 is not enough to make up for the severe inconvenience and lack of ability to make it right in a timely manner.,-0.071428571,timely manner,2.398607558,1
40,grubhub,245,I love GrubHub they always come through when I'm hungry.,0.5,1595,grubhub has the best drivers grubhub brings the best food and it does it in a timely manner there's just something about grubhub that i can't live without absolutely love it.,0.659090909,timely manner,2.398607558,5
42,ubereats,638,We ordered from this app and not only got the complete wrong order but received awful service along with it.,-0.35,3793,when we called them they said they could give us a refund for the wings but would give us no actual help with getting our food in a timely manner.,0.0,timely manner,2.398607558,1
45,postmates,1077,I would urge you to use other food delivery apps.,-0.125,6460,"you cannot receive a refund for a canceled order because they took too long to try and locate a driver..i will reiterate, use a competitor to deliver you food in a safe and timely manner!.location: major metropolitan city in the southwest.",0.170833333,timely manner,2.398607558,1
46,doordash,1196,"DoorDash is awesome, especially for.parents who both work and sometimes just don't have the time or energy to make dinner.",0.5,7476,"but it becomes problematic for the food temperature, and because the food ordered from doordash is more expensive than ordering pick-up from the restaurant app directly, it's expected that the orders will come correctly, in a timely manner, and warm.",0.125,timely manner,2.398607558,4
47,doordash,1202,Okay this review is coming from a customer and a merchant point of view.,0.5,7525,"as a merchant; if the first driver cancels after they have already picked it up, why not notify the restaurant so we can remake in a timely manner for the next driver, and the customer??",0.125,timely manner,2.398607558,1
49,ubereats,739,"I ordered from Burger King, and over an hour later the delivery driver told me the ""app did it wrong"" and he had the wrong order but support wasn't answering him.",-0.333333333,4521,"i ordered from burger king, and over an hour later the delivery driver told me the ""app did it wrong"" and he had the wrong order but support wasn't answering him.",-0.333333333,burger king,1.195259163,1
57,ubereats,788,"2 Days ago I put in a order to Uber eats, my driver canceled my order and claimed they attempted to call and get in touch with me but never did !",0.0,4849,"i then sent them screen shots of her cancellation of my order , they still continued to do nothing!",0.0,screen shot,2.798485711,1
61,grubhub,131,So basically they drivers can steal your whole meal or even half the meal you try to get a refund they going to say they can't cuz your account is under some suspicious activity's idk why y'all think y'all company is so perfect it's not y'all have people that steal food or wont bring you your food and or food made completely wrong so basically if you order something it's a high chance I might not get it or my order wrong so take my money and give me whatever and interrogate me like I did something wrong yall services are very bad,-0.152083333,1085,so basically they drivers can steal your whole meal or even half the meal you try to get a refund they going to say they can't cuz your account is under some suspicious activity's idk why y'all think y'all company is so perfect it's not y'all have people that steal food or wont bring you your food and or food made completely wrong so basically if you order something it's a high chance i might not get it or my order wrong so take my money and give me whatever and interrogate me like i did something wrong yall services are very bad,-0.152083333,suspicious activity,0.790860539,1
63,ubereats,846,"My phone got ""suspicious activity"" on it so I can't use it ever again for Uber when I don't feel like I did anything wrong.",-0.5,5177,"my phone got ""suspicious activity"" on it so i can't use it ever again for uber when i don't feel like i did anything wrong.",-0.5,suspicious activity,0.790860539,1
65,grubhub,73,This is somehow the worst delivery and customer service.,-1.0,713,the final straw was ordering food and then it being delivered almost an hour later where the food was cold and soggy.,-0.2,final straw,3.124699554,1
66,grubhub,76,"I put in the delivery instructions for which entrance to where I work at, the drivers refused to follow the instructions.",0.0,731,"they dropped it off at tool rental or the pro desk, sometimes nasty to my co workers, before leaving...the final straw for this app i had was that i put my house as the address and the food was delivered to my work instead.",-0.5,final straw,3.124699554,1
74,ubereats,621,It's so funny how my review got deleted.,0.25,3656,"i contacted uber and all uber could do for me was transfer me to a ""specialized team"" which they have no idea how long it can take to even get the problem situated.",-0.05,specialized team,0.970707976,1
75,ubereats,625,"While the app itself works fine, my husband and I had an awful experience last week while we were on vacation.",-0.194444444,3684,"my husband and i both attempted to chat with customer service, and they didn't seem to have an answer and instead told us they would send the info to a ""specialized team.""",0.0,specialized team,0.970707976,1
76,ubereats,625,"While the app itself works fine, my husband and I had an awful experience last week while we were on vacation.",-0.194444444,3687,"and yet, 4 days later, neither of us ever heard from this ""specialized team"" and we have not received any responses to our support chats whatsoever.",0.0,specialized team,0.970707976,1
78,doordash,1188,I've been using door dash for years.,0.0,7391,escalation team said to give them 48 hours to fix it and they will send an email.,0.0,escalation team,1.72285269,1
82,doordash,1219,The escalation team was suppose to give me a call back after I was told many times by the door dash representatives that they were not allowed to transfer me over to a supervisor in the escalation teams about food I never received.,0.25,7675,the escalation team was suppose to give me a call back after i was told many times by the door dash representatives that they were not allowed to transfer me over to a supervisor in the escalation teams about food i never received.,0.25,escalation team,1.72285269,1
83,doordash,1219,The escalation team was suppose to give me a call back after I was told many times by the door dash representatives that they were not allowed to transfer me over to a supervisor in the escalation teams about food I never received.,0.25,7676,"they are horrible when it comes to their customer service and all the representatives were no help to me at all when it came to resolving my issues, i was told the escalation teams didn't have a direct number which is completely unacceptable and i will not be doing business with door dash , they never followed up with me or not even a email.",-0.266666667,escalation team,1.72285269,1
85,grubhub,226,I have caught them charging higher food costs than they quote on a regular basis.,0.125,1520,i have caught them charging higher food costs than they quote on a regular basis.,0.125,regular basis,1.25275595,1
87,grubhub,48,"Subway does this because it has franchises as individual owners, and screws the bottom line, but Arbys could easily get a boost in business if they put QR codes on their coupons.",0.216666667,523,"subway does this because it has franchises as individual owners, and screws the bottom line, but arbys could easily get a boost in business if they put qr codes on their coupons.",0.216666667,bottom line,1.283763687,1
89,ubereats,974,I made and cancelled an order and was charged twice for an order i had already cancelled.,0.0,5910,"bottom line is they are not here to help you, they are there to make you feel stupid and customer service is bad.",-0.75,bottom line,1.283763687,1
93,grubhub,341,"My Mom ordered from GrubHub yesterday, And all I can say is that they had terrible customer service!",-1.0,2006,and last month when she ordered from grubhub the woman that was supposed to give us our food was going the opposite direction!,0.0,opposite direction,1.878628685,1
97,grubhub,86,"These delivery apps were incredibly convenient creations, however, it's absolutely ridiculous that they won't let you use promo codes unless you're a brand new customer.",0.234343434,791,"these delivery apps were incredibly convenient creations, however, it's absolutely ridiculous that they won't let you use promo codes unless you're a brand new customer.",0.234343434,promo code,1.203052803,2
98,grubhub,187,"GrubHub plus is NOT worth it, half the time it doesn't even give you $0 delivery, and they compensate with an extra service fee anyways!",-0.105555556,1323,"also + doesn't let you use promo codes with it, you either get the perk or the promo it won't let you do both!",0.0,promo code,1.203052803,1
99,grubhub,276,"Not that many places to pick in my area and it definitely needs more promo codes, specially on the weekend were many other delivery apps give at least a 10% off just because it's the weekend.",0.204591837,1735,"not that many places to pick in my area and it definitely needs more promo codes, specially on the weekend were many other delivery apps give at least a 10% off just because it's the weekend.",0.204591837,promo code,1.203052803,3
105,ubereats,517,I was a Uber one member until it wouldn't let me add a payment method and I just couldn't use the app.,0.0,2691,i was a uber one member until it wouldn't let me add a payment method and i just couldn't use the app.,0.0,payment method,3.807209269,1
108,ubereats,860,Everything is great with this app I really appreciate the fact that we can still order food through somewhere else besides pizza and Chinese but my issue is this why can't I delete any of my old payment methods.,0.275,5283,everything is great with this app i really appreciate the fact that we can still order food through somewhere else besides pizza and chinese but my issue is this why can't i delete any of my old payment methods.,0.275,payment method,3.807209269,5
113,doordash,1231,"I don't know how this happens but if I just don't pay for dashpass, service is entirely hit or miss.",0.0,7785,they might tell you they'll refund your payment method.,0.0,payment method,3.807209269,1
114,doordash,1257,As DoorDash has evolved it has taken on more and more shady business practices.,0.25,8025,sure you could credit back to the original payment method but that doesn't change the fact that you didn't get what you paid for or that you have to pay extra again to get it.,0.21875,payment method,3.807209269,1
115,doordash,1312,I thought it was a bit odd the first time I got a refund for a drink I never got(which happened multiple times I chose to do original payment method so I can get my money back .They say 3-7 business days or something like that and you'll be refunded I usually don't go back to look at my bank statements after that amount of time bc I would forget to but today.I checked to see if I had been refunded my money back and would you believe it I hadn't .So I went back to see if I had ever been refunded for past transactions and no I have not so this entire time I have just been losing money to this app🤦🏽‍♀️,0.020833333,8420,i thought it was a bit odd the first time i got a refund for a drink i never got(which happened multiple times i chose to do original payment method so i can get my money back .they say 3-7 business days or something like that and you'll be refunded i usually don't go back to look at my bank statements after that amount of time bc i would forget to but today.i checked to see if i had been refunded my money back and would you believe it i hadn't .so i went back to see if i had ever been refunded for past transactions and no i have not so this entire time i have just been losing money to this app🤦🏽‍♀️,0.020833333,payment method,3.807209269,3
117,doordash,1120,I have been using DoorDash for a while now and it's only getting worse.,-0.2,6634,"the last time i ordered food, it was for my office, and it explicitly stated to walk inside the building and hand it to me or put it on the front desk.",0.0,front desk,1.713471756,2
119,doordash,1190,I ordered food to be delivered to a hotel where I am staying in NJ.,0.0,7409,"i received a call from nelson who explained that he was at the front desk, but no one was manning the desk.",0.0,front desk,1.713471756,5
128,grubhub,19,I've never had a good experience with this service and it's always been the drivers fault but today takes the cake.,0.7,248,after going to grub hub to report this all they could say was sorry for the service and for the cold food here's 5 dollar credit that expires in 30 days when asking if anything else could be done they said they can't do anything regarding their drivers.,-0.55,grub hub,18.15553426,1
130,grubhub,25,"So just had a conversation with customer support, I was waiting for my order and it said it would arrive at x time, so I waited and noticed that the driver was at one point just driving in circles near but about 5 blocks from my location, so I thought ok here we go again gps is going to screw things up, I message the driver no response, I call the driver still no response.",0.3,316,now i'm worried so i contact grub hub customer service and ask them to check up on the driver because i'm think maybe they got into an accident or something they are in the middle of the street and haven't moved their gps location in about 10 mins.,0.0,grub hub,18.15553426,1
131,grubhub,25,"So just had a conversation with customer support, I was waiting for my order and it said it would arrive at x time, so I waited and noticed that the driver was at one point just driving in circles near but about 5 blocks from my location, so I thought ok here we go again gps is going to screw things up, I message the driver no response, I call the driver still no response.",0.3,318,i'm sorry but what kind of backwards algorithm are you folks in grub hub using to determine deliveries.,0.05,grub hub,18.15553426,1
132,grubhub,30,I've been using Grub hub for about an year now and the amount of time my foods been stolen is ridiculous and when you do talk to customer support they think everybody is a child sounds like they are talking down to you then all they do you return your money when food is stolen but not like it won't happen again but yep let me keep throwing my money at an delivery app that takes hours sometimes to deliver due to the fact how lazy there drivers are then you do meet some drivers that are nice and good at what they are doing but I only met 3 in the past year of me using it such a bad experience and customer support does not help this clause at all could at least give me a discount for the next food order after my food been stolen but nope and then get hanged up on twice by not only my driver but also the customer service love to see it and how I do much regret spending even one cent on this garbage app and service,-0.007592593,378,i've been using grub hub for about an year now and the amount of time my foods been stolen is ridiculous and when you do talk to customer support they think everybody is a child sounds like they are talking down to you then all they do you return your money when food is stolen but not like it won't happen again but yep let me keep throwing my money at an delivery app that takes hours sometimes to deliver due to the fact how lazy there drivers are then you do meet some drivers that are nice and good at what they are doing but i only met 3 in the past year of me using it such a bad experience and customer support does not help this clause at all could at least give me a discount for the next food order after my food been stolen but nope and then get hanged up on twice by not only my driver but also the customer service love to see it and how i do much regret spending even one cent on this garbage app and service,-0.007592593,grub hub,18.15553426,1
133,grubhub,46,After several mishaps and simply just getting my money back each time after not receiving food or waiting hours for it I'm done!,0.0,515,i know two grub hub drivers and they tell me how crappy this service is to work for and will also not drive for them anymore.,0.0,grub hub,18.15553426,1
135,grubhub,49,I tried grub hub plus.,0.0,538,when we contact grub hub they said the have to do research on our order and can take up to 10 days.,0.0,grub hub,18.15553426,1
137,grubhub,50,honestly-  NOT the best when it comes to order updates and (if ordered 2 places to be delivered same time - dinner and desert for example- the order get assigned to diff people or the same driver goes back and forth needlessly :(  not good for the drivers!,-0.033928571,544,like how door dash if out of the one item from wendys they just cancel full thing... but at least they listed the reason while they were stil in business ... .otherwise when grub hub does work-  food always still hot when finally does arrive and the drivers are very awesome for doing what they do.,0.26,grub hub,18.15553426,2
139,grubhub,64,Grub hub used to be my go to.,0.0,659,"i understand i can go to the restaurant and pick it up myself, but grub hub if your offering a service and i'm paying for it then do what you say your business does.",0.0,grub hub,18.15553426,1
144,grubhub,93,My fiancé and I ordered food tonight and decided to go with grub hub.,0.0,836,i call grub hubs call center and the most they could do is give me a 5 dollar coupon to use for the next time i use grub hub.,0.133333333,grub hub,18.15553426,1
146,grubhub,94,"I ordered nachos from a restaurant late at night as I didn't eat dinner, and the driver said it was dropped off.",-0.3,842,i called grub hub and they refused to contact the driver and the only thing they could offer me was a refund even though it was too late to order anywhere else.,-0.15,grub hub,18.15553426,1
149,grubhub,110,The restaurant and places listed along with the me yea give me more options than the other food del apps do so shout out to grub hub I get the deals you would get if you go through the drive thru.,0.1875,942,the restaurant and places listed along with the me yea give me more options than the other food del apps do so shout out to grub hub i get the deals you would get if you go through the drive thru.,0.1875,grub hub,18.15553426,5
160,grubhub,153,Grub Hub has made it super easy to order from a wide variety of my favorite delivery restaurants.,0.291666667,1181,grub hub has made it super easy to order from a wide variety of my favorite delivery restaurants.,0.291666667,grub hub,18.15553426,5
163,grubhub,180,"Had our driver drop our food then tell us we had to go to customer support to cancel our order told us we would get a refund 3-5 business days and we had a 5 off coupon that we have to use within 30 days and went to door dash instead and I'm not saying this is grub hubs fault but we shouldn't have to order another order and pay additional money for it just so someone could ""drop it "" grub hub should pay for it the second time",0.0,1299,"had our driver drop our food then tell us we had to go to customer support to cancel our order told us we would get a refund 3-5 business days and we had a 5 off coupon that we have to use within 30 days and went to door dash instead and i'm not saying this is grub hubs fault but we shouldn't have to order another order and pay additional money for it just so someone could ""drop it "" grub hub should pay for it the second time",0.0,grub hub,18.15553426,1
167,grubhub,225,Horrible service from this service.,-1.0,1515,"but when we called the restaurant, the owner said grub hub had to issue the refund.",0.0,grub hub,18.15553426,1
169,grubhub,232,Each time we have ordered from this app the deliveries are prompt and the drivers are always courteous.,0.6,1543,we will continue to use grub hub for all our delivery orders!,0.0,grub hub,18.15553426,5
174,grubhub,304,Food deliveries always late no matter how much time is provided .,-0.05,1860,".. hey grub hub, forget about your 5 dollar credit for being late and just deliver it on time",-0.3,grub hub,18.15553426,2
181,ubereats,716,I had few missing items on my Uber eat order.,-0.2,4380,"they would not bring this up to  a supervisor ( of course, this only a robot answering always the same crafted response )..this is just too risky to order on this site and prefer grub hub for their management of the same issue",0.0,grub hub,18.15553426,1
193,ubereats,568,I can't remember the last time I got an order that was completely correct.,0.05,3245,"you only get refunded a small percentage when there are missing items, so be prepared to pay even more on top of the apps already high price hikes.",0.118333333,small percentage,1.084991585,1
195,doordash,1224,"There is no way to search a specific stores menu-the search functionality just searches EVERY restaurant, not the one you click on.",0.0,7715,"..finally, the compensation they offer unless you select the ‘item is missing' when an item delivered is incorrect will be such a small percentage of the item that it in no way covers a replacement or even your time if you need to reorder for allergy/preferences.",-0.15,small percentage,1.084991585,3
200,doordash,1180,"This app used to be great, and I'm sure its great for a lot of people that you can order from grocery stores, gas stations, liquor stores, etc but now I've got to scroll through 50 a list that's forever long that has one local restaurant for ever 10 things that aren't a restaurant and there's no easy way to filter it out unless you filter for a particular type of food.",0.285714286,7326,"this app used to be great, and i'm sure its great for a lot of people that you can order from grocery stores, gas stations, liquor stores, etc but now i've got to scroll through 50 a list that's forever long that has one local restaurant for ever 10 things that aren't a restaurant and there's no easy way to filter it out unless you filter for a particular type of food.",0.285714286,liquor store,0.818879253,3
202,ubereats,752,I freaking love Uber eats I love getting my food it comes fast I eat it I love it and then I do it again and repeat and repeat if you're not using Uber eats you are crazy what's wrong with your freaking head come on you can just get on your phone hit a couple buttons Wala there's a chicken sandwich baby baby baby baby yeah baby baby I love it love it now Uber eats for life till I die I love Uber and then I can get a ride come on it doesn't get any better than that,0.181818182,4601,i freaking love uber eats i love getting my food it comes fast i eat it i love it and then i do it again and repeat and repeat if you're not using uber eats you are crazy what's wrong with your freaking head come on you can just get on your phone hit a couple buttons wala there's a chicken sandwich baby baby baby baby yeah baby baby i love it love it now uber eats for life till i die i love uber and then i can get a ride come on it doesn't get any better than that,0.181818182,chicken sandwich,1.873713671,5
208,grubhub,339,This app is ok in ordering your food.,0.5,1999,"i had to notify the restaurant not to deliver my food, because grubhub has foreign employees who claim they speak english to get the job, but can't comprehend english while trying to interact with customers.",-0.041666667,speak english,2.74864023,1
210,ubereats,935,I placed an order where they charged me nearly $20 of fees on a $30 order.,0.1,5682,"just to make sure i calle free restaraunt, they didn't answer, the driver, he didn't answer nor did he speak english.",0.3,speak english,2.74864023,1
214,doordash,1184,Don't waste your time!,-0.25,7354,she then proceeded to tell me i had to speak spanish.,0.0,speak spanish,2.202314513,1
216,grubhub,40,"GrubHub places orders, but it does not check the response from the restaurant to see if the order has been received and will be processed successfully.",0.75,462,"!..on two separate occasions, i tried placing order to a local cafe that google maps shows is open...on both occasions, grubhub falsely reported that my order was complete, and it was on its way.",-0.1,google map,0.781895846,2
217,ubereats,508,I wrote this review a year and a half ago.,-0.166666667,2585,i literally had to add a location in google maps and name it as if it were my own business in order to get them to come to that point on the map.,0.6,google map,0.781895846,1
228,ubereats,613,"When I say they rob you blind for the free trial they do , you will be charged 9.99$ even though you weren't supposed to and then they say they are aware of the bugs charging peoples account and could basically care less becasue they void it , so the fact you have to wait 2-3 business days for your money back in my opinion seems like blind Robbery, I'm not an atm or a loan company whether it was voided or not, and then the customer service you will get is horrible and I mean terrible , I have a whole recorded session where I was chat ended 3 times by the employees just trying to resolve the issues, never swore once and was totally respectful to them they just ended the chats one by one all three giving trashy short answers and then clicking off.",-0.177430556,3595,"when i say they rob you blind for the free trial they do , you will be charged 9.99$ even though you weren't supposed to and then they say they are aware of the bugs charging peoples account and could basically care less becasue they void it , so the fact you have to wait 2-3 business days for your money back in my opinion seems like blind robbery, i'm not an atm or a loan company whether it was voided or not, and then the customer service you will get is horrible and i mean terrible , i have a whole recorded session where i was chat ended 3 times by the employees just trying to resolve the issues, never swore once and was totally respectful to them they just ended the chats one by one all three giving trashy short answers and then clicking off.",-0.177430556,free trial,2.311280414,1
230,doordash,1177,"There was a print that said if I added the Dash Pass to my order I could save a little over $4, so I did.",-0.1875,7299,it also said that i would get a 30 day free trial and at the end of the :0 days i would be charged $9.99 per month.,0.4,free trial,2.311280414,1
236,grubhub,382,Time and time again the delivery drivers ignore the delivery instructions that I am wheelchair bound and need the food delivered to my door.,0.0,2134,instead they leave it on the front steps of my 6 story apartment building where it is immediately stolen.,0.0,apartment building,0.903860775,2
238,ubereats,949,I really like this app and I use it almost every day.,0.2,5766,"but sometimes when i want to know where my food is i have to click the app and check it, i really wish you guys could do the live activity so that i could know when my food would get delivered!!",0.206534091,live activity,1.019150729,5
239,ubereats,558,"I ordered 81 dollars worth of food from TGI Fridays .When I got the food It didn't come from the person that was in the photo for my delivery driver on the app, didn't bother me much bc I've seen that a few times before but what bothered me was the food did not come in the normal TGI Fridays to-go bag it came In a clean shopping bag the food was tossed around handled roughly.. and was also missing food items, I was scared to eat the food bc the random bag and random guy delivering me the food now was a problem, so I was busy on the job and had to get back to work since I wasn't eating lunch and thought I'd be able to come home after a bad day at work and get my money back from this app that is typically very convenient when im in need of good food delivered and im too busy or lazy too drive myself, in saying that I thought Uber would refund my money instead it's Ben a over a week and I feel like I was robbed I still want to be a customer but I need my hard earned money back bc if I not I'll never use this app again LOL",0.032142857,3130,"i ordered 81 dollars worth of food from tgi fridays .when i got the food it didn't come from the person that was in the photo for my delivery driver on the app, didn't bother me much bc i've seen that a few times before but what bothered me was the food did not come in the normal tgi fridays to-go bag it came in a clean shopping bag the food was tossed around handled roughly.. and was also missing food items, i was scared to eat the food bc the random bag and random guy delivering me the food now was a problem, so i was busy on the job and had to get back to work since i wasn't eating lunch and thought i'd be able to come home after a bad day at work and get my money back from this app that is typically very convenient when im in need of good food delivered and im too busy or lazy too drive myself, in saying that i thought uber would refund my money instead it's ben a over a week and i feel like i was robbed i still want to be a customer but i need my hard earned money back bc if i not i'll never use this app again lol",0.032142857,hard earn,1.218627345,1
246,ubereats,901,Wish I could attach pictures to reviews...one of your employees delivered my pizza by eating three slices and drinking my drink then she proceeded to tell me my order has arrived and throws it under her Prius in my condo parking lot and runs over the box with what's left inside leaving me to clean up splatter pizza in front of my place.,0.183333333,5507,wish i could attach pictures to reviews...one of your employees delivered my pizza by eating three slices and drinking my drink then she proceeded to tell me my order has arrived and throws it under her prius in my condo parking lot and runs over the box with what's left inside leaving me to clean up splatter pizza in front of my place.,0.183333333,parking lot,2.218774057,1
247,postmates,1014,this app is crazy with the taxing.,-0.6,6132,"as well as have a driver pick up my food and never show up, he stayed in a parking lot i could see it on the maps.",0.0,parking lot,2.218774057,1
248,postmates,1017,"I don't know how Postmates stays in business, never had experiences so bad as using this app.",-0.7,6164,"not only did the delivery person deliver to the wrong address, they left the food outside during heat wave by the parking lot next to the call box and made no attempt to call me.",-0.1,parking lot,2.218774057,1
252,ubereats,531,Uber will actively try and bully you into not complaining if an order goes wrong.,-0.316666667,2854,uber doesn't feel like they deserve to be real humans so they give their drivers 0 worker rights.,0.2,real human,1.429796832,1
253,ubereats,538,I have had several interactions with the customer service department at Uber eats.,0.0,2937,"i don't want to chat with a computer , i want to speak to a real human!..uber eats, you have lost a long time customer today!",0.06875,real human,1.429796832,1
255,postmates,1035,I order food at 1:07 pm.,0.0,6270,"i contacted support and it was not helpful at all, they aren't real humans it's literally just computers.",0.2,real human,1.429796832,2
256,ubereats,757,Nice app they have your favorite restaurants the only problem for me tho is that your delivery person should focus on one order not have multiple orders from lots of people like I'm still waiting on my delivery and I have an appointment at 11am and it's 10:43am and I'm waiting on my meal but the delivery person is delivering someone elses food you should change that and make them do just one delivery once done they do another one pls,0.275,4637,nice app they have your favorite restaurants the only problem for me tho is that your delivery person should focus on one order not have multiple orders from lots of people like i'm still waiting on my delivery and i have an appointment at 11am and it's 10:43am and i'm waiting on my meal but the delivery person is delivering someone elses food you should change that and make them do just one delivery once done they do another one pls,0.275,someone elses,1.178980924,5
259,postmates,1098,Tried to Order pizza.,0.0,6544,we will be reporting you to the better business bureau.,0.5,business bureau,1.291788623,1
260,grubhub,237,First order the delivery driver disappeared off the face of the earth.,0.25,1566,your entire business model is falling apart and will soon fail if you don't tighten up the ship and hold people accountable.,-0.25,business model,0.881538562,1
261,ubereats,511,I signed up for the plus membership which promises free delivery on most places.,0.45,2622,i voiced my confusion with such a business model to which they just kept reassuring me i could place my order and i would be getting my money back.,0.0,business model,0.881538562,1
265,ubereats,871,"Deleting the app after this review, but i have been charged for orders 3 times now that were cancelled by the merchant.",0.0,5346,even if your order is cancelled by the app or merchant as soon as you place it there is still a 3-10 day authorization hold on the money that twice now has ended up sticking.,0.0,authorization hold,1.158170763,1
266,grubhub,36,The map updates very slowly when you are viewing the progress of the driver.,-0.39,427,"with grubhub you have to go out of your way to do a rating for a driver, so the only people who will likely be doing that are ones who have a negative rating to give.",-0.1,negative rating,1.032923129,3
270,grubhub,242,My bank account was hacked through Grubhub and they cleared out significant amounts of money from my bank all linked to Grubhub.,0.375,1583,my bank account was hacked through grubhub and they cleared out significant amounts of money from my bank all linked to grubhub.,0.375,significant amount,1.019207444,1
274,doordash,1187,I always use Ubereats but the app was glitchy so I resorted to this and regret it.,0.0,7382,"then the delivery person cancelled my order, which mind you, due to their inflated prices came out to double then what it would have been on uber, due to him waiting on line to long, but he told customer service they weren't allowing substitutions.",-0.075,inflated price,0.901519193,1
275,doordash,1343,Soo I love the convenience of DoorDash but man.. do they have some problems.,0.5,8641,"from the dashers themselves, the inflated priced on items (even if you purchase their ‘dash pass'), the inaccurate map- to them not holding their dasher's accountable for marking orders ""waiting for order"" where then half way across the city or doing multiple deliveries when they've marked as your ordering being close by.",-0.022222222,inflated price,0.901519193,2
279,grubhub,430,It's ok but they have drivers that deliver to complete opposite locations of where you are pretty frequently so your food is cold and will need some microwaving.,0.058333333,2269,it's ok but they have drivers that deliver to complete opposite locations of where you are pretty frequently so your food is cold and will need some microwaving.,0.058333333,complete opposite,0.794858009,2
