r_id,s_id,sentence,sentence_sentiment
556,3107,"An app and a company that actively lie to their customers, pay their delivery people as poorly as everyone else - all while lining their grubby little Silicon Valley pockets and delivering little to no value...I've confirmed (multiple times) with both restaurants and delivery people that Uber Eats, as mentioned in others' reviews, ""dispatches"" delivery people (they actually choose whether or not to show up and often don't) to the restaurant at their whim and with no relation to when diners' food is actually ready...Curious, then, that the app will say, the restaurant is ""wrapping up your order,"" when nothing could be further from the truth...Last night was the final straw, as I placed my initial order circa 8:30p.",-0.0462121212121212
805,4952,This last order was the final straw!,0.0
1016,6149,Amd do NOTHING about it..I've used this many times before but tonight was the final straw.,0.25
1218,7669,"But I have to say, the ""final straw"" for me is the huge price markups on food items!!!",0.390625
1223,7706,The final straw is that the last two orders were someone else's order.,0.0
1240,7859,This was my final straw with all the terrible experiences I've had so far.,-0.3
621,3656,"I contacted Uber and all Uber could do for me was transfer me to a ""specialized team"" which they have no idea how long it can take to even get the problem situated.",-0.05
625,3684,"My husband and I both attempted to chat with customer service, and they didn't seem to have an answer and instead told us they would send the info to a ""specialized team.""",0.0
625,3687,"And yet, 4 days later, neither of us EVER heard from this ""specialized team"" and we have not received any responses to our support chats whatsoever.",0.0
834,5113,I have been waiting for 3 days for a specialized team to contact and nothing has yet to happen.,0.0
1188,7391,Escalation team said to give them 48 hours to fix it and they will send an email.,0.0
1188,7397,I hope no one has to go through this because supposedly not even the supervisor of the highest escalation team can do anything to fix this.,0.0
1203,7537,The agent escalated this issue to their escalation team...I waited for more than 24 hours but all I got back from the escalation team is an email written in a standard template by a bot saying that the refund request is not approved by DoorDash's policy...I contacted DoorDash again.,0.1666666666666666
1203,7538,Their supervisor just repeated the same thing to me: your case has been reviewed by our escalation team and your refund request is not approved...Super disappointed about DoorDash.,-0.375
1219,7675,The escalation team was suppose to give me a call back after I was told many times by the door dash representatives that they were not allowed to transfer me over to a supervisor in the escalation teams about food I never received.,0.25
1219,7676,"They are horrible when it comes to their customer service and all the representatives were no help to me at all when it came to resolving my issues, I was told the escalation teams didn't have a direct number which is completely unacceptable and I will not be doing business with door dash , they never followed up with me or not even a email.",-0.2666666666666666
183,1306,We both live too far away to get healthy food to them on a regular basis.,0.184090909090909
226,1520,I have caught them charging higher food costs than they quote on a regular basis.,0.125
789,4855,I order from Uber eats on a semi regular basis.,0.0
48,523,"Subway does this because it has franchises as individual owners, and screws the bottom line, but Arbys could easily get a boost in business if they put QR codes on their coupons.",0.2166666666666666
878,5390,"Bottom line, not the way we like it!!",0.0
974,5910,"Bottom line is they are not here to help you, they are there to make you feel stupid and customer service is bad.",-0.7499999999999999
28,353,"It says ""on the way to you"" yet he's driving the opposite direction.",0.0
64,656,Lately I've been getting drivers getting my order picking up my food and then are all over town in the opposite direction of my location.,-0.15
175,1276,I've had several orders where the drivers go the opposite direction.,0.0
341,2006,And last month when she ordered from GrubHub the Woman that was supposed to give us our food Was going the opposite direction!,0.0
1210,7599,The restaurant was fairly close to our home but his route took him in the opposite direction.,0.35
824,5052,This is why I stopped using these third party apps.,0.0
1137,6855,I will no longer use the app but beware a lot of restaurants still use doordash as a third party delivery service.,0.0
86,791,"These delivery apps were incredibly convenient creations, however, it's absolutely ridiculous that they won't let you use promo codes unless you're a brand new customer.",0.2343434343434343
187,1323,"Also + doesn't let you use promo codes with it, you either get the perk or the promo it won't let you do both!",0.0
276,1735,"Not that many places to pick in my area and it definitely needs more promo codes, specially on the weekend were many other delivery apps give at least a 10% off just because it's the weekend.",0.2045918367346939
1304,8364,"The food and service is great, there are discounts, promo codes, and such.",0.4
21,271,A few other times my order was delivered in the dirt outside my apartment complex.,-0.15625
650,3913,"My apartment complex can be difficult to navigate, so I gave my driver ample tips on how to locate my apartment, including directions, descriptions of patio furniture, and standing outside to grab her attention.",-0.2666666666666666
1320,8469,"And now I'm wondering if I've been charged again for this ""new"" order(I live in an apartment complex, buildings are like 1-2 minutes away from eachother by car, so it's not like the distance between what doordash put as ""my house"" should've drastically changed the time).This is my first HOUR using doordash, and honestly after I get my Jollibee I'm switching to Grubhub 🤷🏾‍♀️ doorflop",0.1645454545454545
65,665,"Now, I cannot change the payment method between using meal swipes to using regular dining money.",0.0
517,2691,I was a Uber one member until it wouldn't let me add a payment method and I just couldn't use the app.,0.0
562,3170,I've been trying to add a payment method to order food for weeks.,0.0
621,3655,Uber eats wasn't accepting none of my payment methods so I bought a gift card to try to use to pay for the food now it's not even allowing me to use that.,0.0
860,5283,Everything is great with this app I really appreciate the fact that we can still order food through somewhere else besides pizza and Chinese but my issue is this why can't I delete any of my old payment methods.,0.275
860,5284,It took me 30 minutes to get my order because it kept going back to an old payment method,0.05
888,5437,why does the app pick and choose what payment methods are valid and when?,0.0
958,5814,Credit card form in that flow doesn't dismiss when you tap the payment method.,0.0
1151,7012,"Up until recently whenever I try to place an order, I keep getting this message saying ""Whoops, try a different payment method.""",0.0
1231,7785,They might tell you they'll refund your payment method.,0.0
1257,8025,Sure you could credit back to the original payment method but that doesn't change the fact that you didn't get what you paid for or that you have to pay extra again to get it.,0.21875
1312,8420,I thought it was a bit odd the first time I got a refund for a drink I never got(which happened multiple times I chose to do original payment method so I can get my money back .They say 3-7 business days or something like that and you'll be refunded I usually don't go back to look at my bank statements after that amount of time bc I would forget to but today.I checked to see if I had been refunded my money back and would you believe it I hadn't .So I went back to see if I had ever been refunded for past transactions and no I have not so this entire time I have just been losing money to this app🤦🏽‍♀️,0.0208333333333333
502,2509,"While traveling to celebrate Rosh Hashana, I attempted to use the ""schedule ahead"" service for about five meals and one small grocery order to be delivered to my hotel front desk over the two days.",-0.25
1120,6634,"The last time I ordered food, it was for my office, and it explicitly stated to walk inside the building and hand it to me or put it on the front desk.",0.0
1190,7408,I was out and hoped to return before the order arrived at the hotel's front desk (per my instructions).,0.0
1190,7409,"I received a call from Nelson who explained that he was at the front desk, but no one was manning the desk.",0.0
1190,7411,Nelson exceeded all requirements and expectations by waiting until the person returned to the front desk to deliver the order.,0.0
1190,7414,"After Nelson drove away, the person at the front desk expressed his appreciation for how Nelson handled everything.",0.0
628,3707,So first time I order UberEATS was McDonald's for a double quarter and 20 piece chicken nuggets and no drink because I can make my own.,0.0625
628,3711,I did get chicken nuggets but 4.,-0.6
731,4469,"I order multiple items including chicken nuggets, milkshakes, and a chicken sandwich.",-0.3999999999999999
6,86,Order from restaurant website it defaulted to grub hub for delivery.,0.0
6,96,Tried to cancel through grub hub.,0.0
6,105,Will never use Grub hub again.,0.0
19,248,After going to grub hub to report this all they could say was sorry for the service and for the cold food here's 5 dollar credit that expires in 30 days when asking if anything else could be done they said they can't do anything regarding their drivers.,-0.55
23,298,"I started a text with grub hub and all I got was a cancelled order, five dollar off my next sixty dollar order and a I really apologize for this.",0.1
25,316,Now I'm worried so I contact grub hub customer service and ask them to check up on the driver because I'm think maybe they got into an accident or something they are in the middle of the street and haven't moved their gps location in about 10 mins.,0.0
25,318,I'm sorry but what kind of backwards algorithm are you folks in grub hub using to determine deliveries.,0.0499999999999999
30,378,I've been using Grub hub for about an year now and the amount of time my foods been stolen is ridiculous and when you do talk to customer support they think everybody is a child sounds like they are talking down to you then all they do you return your money when food is stolen but not like it won't happen again but yep let me keep throwing my money at an delivery app that takes hours sometimes to deliver due to the fact how lazy there drivers are then you do meet some drivers that are nice and good at what they are doing but I only met 3 in the past year of me using it such a bad experience and customer support does not help this clause at all could at least give me a discount for the next food order after my food been stolen but nope and then get hanged up on twice by not only my driver but also the customer service love to see it and how I do much regret spending even one cent on this garbage app and service,-0.0075925925925925
46,515,I know two grub hub drivers and they tell me how crappy this service is to work for and will also not drive for them anymore.,0.0
49,528,I tried grub hub plus.,0.0
49,538,When we contact grub hub they said the have to do research on our Order and can take up to 10 days.,0.0
49,541,Do yourself a favor and don't order from grub hub.,0.0
50,544,like how door dash if out of the one item from wendys they just cancel full thing... but at least they listed the reason while they were stil in business ... .otherwise when grub hub does work-  food always still hot when finally does arrive and the drivers are very awesome for doing what they do.,0.26
64,653,Grub hub used to be my go to.,0.0
64,659,"I understand I can go to the restaurant and pick it up myself, but grub hub if your offering a service and I'm paying for it then do what you say your business does.",0.0
64,663,Grub hub has gone downhill big time.,0.0
69,690,Happy Grub Hubbin'!,1.0
92,830,Looks like it's grub hub for me,0.0
93,831,My fiancé and I ordered food tonight and decided to go with grub hub.,0.0
93,836,I call grub hubs call center and the most they could do is give me a 5 dollar coupon to use for the next time I use grub hub.,0.1333333333333333
93,839,I do not plan on using grub hub again,0.0
94,842,I called grub hub and they refused to contact the driver and the only thing they could offer me was a refund even though it was too late to order anywhere else.,-0.15
100,878,"I have a premium subscription to Grub Hub, and I regret signing up.",0.0
100,882,Don't waste your time trying to depend on Grub Hub.,-0.2
110,942,The restaurant and places listed along with the me yea give me more options than the other food del apps do so shout out to grub hub I get the deals you would get if you go through the drive thru.,0.1875
117,989,Good thing pizza reheats well...**update: got an email from Grub Hub asking me to contact customer support about my recent experience.,0.35
117,993,Thanks but no thanks Grub Hub.,0.05
127,1053,The very first time I ordered from grub hub I had an order with 70 dollars worth of food and a good tip.,0.4416666666666666
128,1059,"This has to be the worst food delivery app, every time I order  grub hub will say order is on its way and ten minutes later I am getting a full refund .",-0.1625
128,1060,Grub hub messages are not in accord  with the restaurant there only guessing .,0.0
128,1061,The driver will call and say the order has not been processed while grub hub will say the driver can't get ahold of you.,0.0
128,1062,Grub hub is awful I always give them a second chance and that second chance never comes through i always get my hopes up.,-0.3333333333333333
135,1102,I try not to use grub hub because of the cost.,0.0
135,1106,Grub Hub gets paid for doing nothing.,0.0
135,1109,When you order on Yelp it goes through Grub Hub too.,0.0
153,1181,Grub Hub has made it super easy to order from a wide variety of my favorite delivery restaurants.,0.2916666666666666
167,1238,"I went on Door dash and the restaurants are open there, so clearly restaurants don't seem to like grub hub.",0.05
168,1244,Grub hub made it possible to get great food fast.,0.3333333333333333
180,1299,"Had our driver drop our food then tell us we had to go to customer support to cancel our order told us we would get a refund 3-5 business days and we had a 5 off coupon that we have to use within 30 days and went to door dash instead and I'm not saying this is grub hubs fault but we shouldn't have to order another order and pay additional money for it just so someone could ""drop it "" grub hub should pay for it the second time",0.0
210,1441,Grub hub never rings the bell or texts.,0.0
210,1447,Bye grub hub.,0.0
212,1451,Not feeling well so have gotten grub hub this weekend for the family.,0.0
225,1515,"But when we called the restaurant, the owner said grub hub had to issue the refund.",0.0
228,1534,This was a $50 order and grub hub only gave me a $7 coupon to rectify the situation.,0.0
232,1543,We will continue to use Grub Hub for all our delivery orders!,0.0
246,1597,My other apps didn't always have drivers available which was frustrating but so far grub hub has come through.,-0.0062499999999999
251,1621,I have grub hub plus and it's just not worth it.,-0.15
252,1629,I tried contacting Grub Hub immediately.,0.0
252,1631,Grub hub does not care about their customers or protecting private information.,0.0
304,1860,".. Hey Grub Hub, forget about your 5 dollar credit for being late and just deliver it on time",-0.3
329,1961,I have Grub Hub plus that is supposed to include free delivery.,0.4
329,1964,The only time I order through Grub Hub these days is if I cannot find the restaurant I want on Door Dash and I cannot go pick up the order.,0.0
425,2252,"Grub hub jacks up the food prices and adds on fees plus their ""monthly"" charge to have access to the plus features.",0.0
497,2478,Amateur hour at Grub Hub.,-0.25
524,2772,Fortunately there are alternative service such as Grub Hub and Door dash.,0.2
700,4273,"Use Grub Hub, Instacart or just order through the establishment.",0.0
716,4380,"They would not bring this up to  a supervisor ( of course, this only a robot answering always the same crafted response )..This is just too risky to order on this site and prefer grub hub for their management of the same issue",0.0
726,4435,"Left Grub Hub because of their late, cancelled, wrong address deliveries.",-0.2666666666666666
844,5165,"I have tried Post mates,DoorDash and Grub hub.",0.0
932,5670,"Please save your time and money by ordering with seamless, grub hub, caviar, or any other food delivery app - I and those I know haven't had a problem on any app other than Uber eats",-0.0499999999999999
1105,6565,Ig I'll go to grub hub or another competitor who allows ppl to use their debit card.,0.0
1163,7160,Thank god for Uber eats and grub hub !,0.0
1253,7991,Grub hub at least has decent customer service.,-0.0666666666666666
1329,8540,Im overall very disappointed knowing that grub hub and uber eats are about 10x more accurate and overall much better.,0.0708333333333333
120,1010,I ordered two 5-piece chicken tendies and it's original price was $24.,-0.1124999999999999
645,3876,I was handed two paper bags.,0.0
789,4858,But on my last order when my food arrived the paper bag was soaking and my food fell through and onto the sidewalk.,0.0
536,2915,"Out of all of the orders I have placed, only a small percentage has led to me requesting help.",-0.125
568,3245,"You only get refunded a small percentage when there are missing items, so be prepared to pay even more on top of the apps already high price hikes.",0.1183333333333333
622,3665,"..if you don't want to require a tip from customers, maybe consider giving up a small percentage of fees you take and using that money to increase the minimum pay per delivery for drivers.",-0.25
1224,7715,"..Finally, the compensation they offer unless you select the ‘item is missing' when an item delivered is incorrect will be such a small percentage of the item that it in no way covers a replacement or even your time if you need to reorder for allergy/preferences.",-0.15
509,2605,The stress and hassle and embarrassment of chasing down the driver via the app only tor walk back inside empty handed isn't worth it.,0.0088888888888888
1012,6111,..I paid for food not for someone to show up at the drop off location empty handed.,-0.1
1044,6330,Food was never made so I left the restaurant empty handed.,-0.05
1167,7199,I can open restraints but when I open a liquor store the app freezes.,0.0
1180,7326,"This app used to be great, and I'm sure its great for a lot of people that you can order from grocery stores, gas stations, liquor stores, etc but now I've got to scroll through 50 a list that's forever long that has one local restaurant for ever 10 things that aren't a restaurant and there's no easy way to filter it out unless you filter for a particular type of food.",0.2857142857142857
507,2570,"Say I ordered a chicken sandwich and received a hamburger, and I clearly show that I received something different, then saying you can't provide a refund and you'll reach out to the merchant to help prevent it from happening again, doesn't help the consumer.",-0.1666666666666666
752,4601,I freaking love Uber eats I love getting my food it comes fast I eat it I love it and then I do it again and repeat and repeat if you're not using Uber eats you are crazy what's wrong with your freaking head come on you can just get on your phone hit a couple buttons Wala there's a chicken sandwich baby baby baby baby yeah baby baby I love it love it now Uber eats for life till I die I love Uber and then I can get a ride come on it doesn't get any better than that,0.1818181818181818
1149,6992,We placed an order for two chicken sandwiches from our favorite local restaurant.,-0.0333333333333333
1191,7420,I ordered a philly chicken sandwich and they substituted it for a FISH BURGER.,-0.6
1304,8365,But I don't want to pay 30 dollars for 4 chicken sandwiches from Popeyes.,-0.6
79,749,"out of 10 deliveries, 8 of the delivery drivers do not speak english.",0.0
163,1218,Hire people who can speak English and can communicate thoroughly.,0.0
339,1999,"I had to notify the restaurant not to deliver my food, because grubhub has foreign employees who claim they speak English to get the job, but can't comprehend English while trying to interact with customers.",-0.0416666666666666
593,3433,"I decided to use my one night off to order food in, just for my delivery man to steal my food and gas light me about how he couldn't speak English, even though when I spoke to him in Spanish, he still insisted that he could not understand me.",0.1333333333333333
935,5682,"Just to make sure I Calle free restaraunt, they didn't answer, the driver, he didn't answer nor did he speak English.",0.3
1177,7300,"When I placed my order nothing was deducted from the total so I contacted customer support…the guy who ""helped"" me didn't know how to speak English well, had a lot of spelling and grammatical errors, and just represented himself and the company very poorly due to the above and his overall tone.",-0.025
1184,7362,"Go to another company I have had the delivery people drop my food at the wrong house, not speak English, scream at me, make me meet them in my development to pick food up, steal my food.",-0.25
1213,7629,Oh and when I called customer service the rep could barely speak English and was speaking some words in Chinese.,0.0166666666666666
1288,8262,"Go to another company I have had the delivery people drop my food at the wrong house, not speak English, scream at me, make me meet them in my development to pick food up, steal my food.",-0.25
1184,7354,She then proceeded to tell me I had to speak Spanish.,0.0
1184,7355,I cannot speak Spanish beautiful language but I can't speak it.,0.425
1288,8254,She then proceeded to tell me I had to speak Spanish.,0.0
1288,8255,I cannot speak Spanish beautiful language but I can't speak it.,0.425
40,462,"!..On two separate occasions, I tried placing order to a local cafe that Google Maps shows is open...On both occasions, GrubHub falsely reported that my order was complete, and it was on its way.",-0.1
508,2585,I literally had to add a location in Google maps and name it as if it were my own business in order to get them to come to that point on the map.,0.6
682,4178,"I have to use Google Maps to see nearby restaurants, then see if they're on Uber Eats...Drivers forget to bring beverages probably 75% of the time.",0.0
4,58,I canceled last yr but ended up with a free year long plus membership then I got hurt so can't drive so I use it a lot now.,0.1166666666666666
58,604,"There is this issue with my account where I'll pay for grubhub + and when I try to place an order, my account says I have no grubhub plus membership- essentially just stealing my money.",0.0
284,1767,What a waste of a plus membership.,-0.2
511,2617,I signed up for the plus membership which promises free delivery on most places.,0.45
511,2618,"When browsing places to eat I found one that had the plus membership symbol, and stated free delivery.",0.4
831,5098,I had a Uber plus membership and frequently ordered from there.,0.1
319,1926,"I tried to order food 2 different days and both days, there were no drivers, my delivery time kept getting pushed back over and over again and their only solution was to refund me and offer a free trial of GH+… 🙄 like i would actually want to try to order anything with them again!",0.08
463,2376,And I tried to use my free trial today w my order being 15$.,0.4
463,2378,Revoked my free trial and then my order was now 21$ to process.,0.4
613,3595,"When I say they rob you blind for the free trial they do , you will be charged 9.99$ even though you weren't supposed to and then they say they are aware of the bugs charging peoples account and could basically care less becasue they void it , so the fact you have to wait 2-3 business days for your money back in my opinion seems like blind Robbery, I'm not an atm or a loan company whether it was voided or not, and then the customer service you will get is horrible and I mean terrible , I have a whole recorded session where I was chat ended 3 times by the employees just trying to resolve the issues, never swore once and was totally respectful to them they just ended the chats one by one all three giving trashy short answers and then clicking off.",-0.1774305555555555
668,4057,"Trying to get me to have a free trial as an ""apology"".",0.4
1177,7299,It also said that I would get a 30 day free trial and at the end of the :0 days I would be charged $9.99 per month.,0.4
1256,8012,"As I'm doing so, the app offers me 2 months free trial to dash pass.",0.25
456,2348,Why can't the just use an automated system at least they work faster.,-0.3
654,3944,Went to chat support and I don't know it it's an automated system or if the person simply couldn't read.,0.0
947,5750,I asked for a refund and their automated system only gave me back $5 out of the $16 worth of missing items.,0.0249999999999999
34,407,"The reason I called customer care was because the driver left my food out on the sidewalk in front of my apartment building and didn't bother to call or text through the app, just sent a picture of the food on the dirty concrete, and dogs use that area to relieve themselves often.",-0.15
382,2134,Instead they leave it on the front steps of my 6 story apartment building where it is immediately stolen.,0.0
632,3746,I've had drivers ignore the delivery instructions and leave food on the sidewalk in front of my apartment building.,0.0
949,5766,"But sometimes when I want to know where my food is I have to click the app and check it, I really wish you guys could do the live activity so that I could know when my food would get delivered!!",0.2065340909090909
558,3130,"I ordered 81 dollars worth of food from TGI Fridays .When I got the food It didn't come from the person that was in the photo for my delivery driver on the app, didn't bother me much bc I've seen that a few times before but what bothered me was the food did not come in the normal TGI Fridays to-go bag it came In a clean shopping bag the food was tossed around handled roughly.. and was also missing food items, I was scared to eat the food bc the random bag and random guy delivering me the food now was a problem, so I was busy on the job and had to get back to work since I wasn't eating lunch and thought I'd be able to come home after a bad day at work and get my money back from this app that is typically very convenient when im in need of good food delivered and im too busy or lazy too drive myself, in saying that I thought Uber would refund my money instead it's Ben a over a week and I feel like I was robbed I still want to be a customer but I need my hard earned money back bc if I not I'll never use this app again LOL",0.0321428571428571
941,5721,Gives you zero options to handle the fact that you paid already in your time waiting for the food and hard earned dollars go to nothing.,-0.2916666666666667
1211,7612,Don't waste your hard earned money here.,-0.2458333333333333
1272,8137,Imagine spending $70+ of your hard earned money on an order to find feathers in your food!!!,-0.5696614583333335
6,91,Then showed driver in another parking lot down the road hovering forever.,-0.1555555555555555
18,240,"After a confirmation of my food being picked up and the driver coming all the way to my hotel parking lot, calls me to question if I picked up my food already.",0.0
254,1635,I literally saw the guy sit in a parking lot away from my restaurant after picking up my order waiting on another order.,0.0
901,5507,Wish I could attach pictures to reviews...one of your employees delivered my pizza by eating three slices and drinking my drink then she proceeded to tell me my order has arrived and throws it under her Prius in my condo parking lot and runs over the box with what's left inside leaving me to clean up splatter pizza in front of my place.,0.1833333333333333
1014,6132,"as well as have a driver pick up my food and never show up, he stayed in a parking lot I could see it on the maps.",0.0
1017,6164,"Not only did the delivery person deliver to the wrong address, they left the food outside during heat wave by the parking lot next to the call box and made no attempt to call me.",-0.1
1273,8146,I've had dashers literally sitting in the parking lot high off drugs while I'm waiting on my order to be delivered.,0.16
