app_name,r_id,review,review_sentiment,s_id,sentence,sentence_sentiment,feature,weight,rating,feature_frequency
grubhub,19,I've never had a good experience with this service and it's always been the drivers fault but today takes the cake.,0.7,248,after going to grub hub to report this all they could say was sorry for the service and for the cold food here's 5 dollar credit that expires in 30 days when asking if anything else could be done they said they can't do anything regarding their drivers.,-0.55,grub hub,18.15553426,1,17
ubereats,568,I can't remember the last time I got an order that was completely correct.,0.05,3245,"you only get refunded a small percentage when there are missing items, so be prepared to pay even more on top of the apps already high price hikes.",0.118333333,small percentage,1.084991585,1,2
doordash,1180,"This app used to be great, and I'm sure its great for a lot of people that you can order from grocery stores, gas stations, liquor stores, etc but now I've got to scroll through 50 a list that's forever long that has one local restaurant for ever 10 things that aren't a restaurant and there's no easy way to filter it out unless you filter for a particular type of food.",0.285714286,7326,"this app used to be great, and i'm sure its great for a lot of people that you can order from grocery stores, gas stations, liquor stores, etc but now i've got to scroll through 50 a list that's forever long that has one local restaurant for ever 10 things that aren't a restaurant and there's no easy way to filter it out unless you filter for a particular type of food.",0.285714286,liquor store,0.818879253,3,1
ubereats,752,I freaking love Uber eats I love getting my food it comes fast I eat it I love it and then I do it again and repeat and repeat if you're not using Uber eats you are crazy what's wrong with your freaking head come on you can just get on your phone hit a couple buttons Wala there's a chicken sandwich baby baby baby baby yeah baby baby I love it love it now Uber eats for life till I die I love Uber and then I can get a ride come on it doesn't get any better than that,0.181818182,4601,i freaking love uber eats i love getting my food it comes fast i eat it i love it and then i do it again and repeat and repeat if you're not using uber eats you are crazy what's wrong with your freaking head come on you can just get on your phone hit a couple buttons wala there's a chicken sandwich baby baby baby baby yeah baby baby i love it love it now uber eats for life till i die i love uber and then i can get a ride come on it doesn't get any better than that,0.181818182,chicken sandwich,1.873713671,5,1
grubhub,339,This app is ok in ordering your food.,0.5,1999,"i had to notify the restaurant not to deliver my food, because grubhub has foreign employees who claim they speak english to get the job, but can't comprehend english while trying to interact with customers.",-0.041666667,speak english,2.74864023,1,2
doordash,1184,Don't waste your time!,-0.25,7354,she then proceeded to tell me i had to speak spanish.,0.0,speak spanish,2.202314513,1,1
grubhub,40,"GrubHub places orders, but it does not check the response from the restaurant to see if the order has been received and will be processed successfully.",0.75,462,"!..on two separate occasions, i tried placing order to a local cafe that google maps shows is open...on both occasions, grubhub falsely reported that my order was complete, and it was on its way.",-0.1,google map,0.781895846,2,2
ubereats,613,"When I say they rob you blind for the free trial they do , you will be charged 9.99$ even though you weren't supposed to and then they say they are aware of the bugs charging peoples account and could basically care less becasue they void it , so the fact you have to wait 2-3 business days for your money back in my opinion seems like blind Robbery, I'm not an atm or a loan company whether it was voided or not, and then the customer service you will get is horrible and I mean terrible , I have a whole recorded session where I was chat ended 3 times by the employees just trying to resolve the issues, never swore once and was totally respectful to them they just ended the chats one by one all three giving trashy short answers and then clicking off.",-0.177430556,3595,"when i say they rob you blind for the free trial they do , you will be charged 9.99$ even though you weren't supposed to and then they say they are aware of the bugs charging peoples account and could basically care less becasue they void it , so the fact you have to wait 2-3 business days for your money back in my opinion seems like blind robbery, i'm not an atm or a loan company whether it was voided or not, and then the customer service you will get is horrible and i mean terrible , i have a whole recorded session where i was chat ended 3 times by the employees just trying to resolve the issues, never swore once and was totally respectful to them they just ended the chats one by one all three giving trashy short answers and then clicking off.",-0.177430556,free trial,2.311280414,1,2
grubhub,382,Time and time again the delivery drivers ignore the delivery instructions that I am wheelchair bound and need the food delivered to my door.,0.0,2134,instead they leave it on the front steps of my 6 story apartment building where it is immediately stolen.,0.0,apartment building,0.903860775,2,1
ubereats,949,I really like this app and I use it almost every day.,0.2,5766,"but sometimes when i want to know where my food is i have to click the app and check it, i really wish you guys could do the live activity so that i could know when my food would get delivered!!",0.206534091,live activity,1.019150729,5,1
ubereats,558,"I ordered 81 dollars worth of food from TGI Fridays .When I got the food It didn't come from the person that was in the photo for my delivery driver on the app, didn't bother me much bc I've seen that a few times before but what bothered me was the food did not come in the normal TGI Fridays to-go bag it came In a clean shopping bag the food was tossed around handled roughly.. and was also missing food items, I was scared to eat the food bc the random bag and random guy delivering me the food now was a problem, so I was busy on the job and had to get back to work since I wasn't eating lunch and thought I'd be able to come home after a bad day at work and get my money back from this app that is typically very convenient when im in need of good food delivered and im too busy or lazy too drive myself, in saying that I thought Uber would refund my money instead it's Ben a over a week and I feel like I was robbed I still want to be a customer but I need my hard earned money back bc if I not I'll never use this app again LOL",0.032142857,3130,"i ordered 81 dollars worth of food from tgi fridays .when i got the food it didn't come from the person that was in the photo for my delivery driver on the app, didn't bother me much bc i've seen that a few times before but what bothered me was the food did not come in the normal tgi fridays to-go bag it came in a clean shopping bag the food was tossed around handled roughly.. and was also missing food items, i was scared to eat the food bc the random bag and random guy delivering me the food now was a problem, so i was busy on the job and had to get back to work since i wasn't eating lunch and thought i'd be able to come home after a bad day at work and get my money back from this app that is typically very convenient when im in need of good food delivered and im too busy or lazy too drive myself, in saying that i thought uber would refund my money instead it's ben a over a week and i feel like i was robbed i still want to be a customer but i need my hard earned money back bc if i not i'll never use this app again lol",0.032142857,hard earn,1.218627345,1,1
ubereats,901,Wish I could attach pictures to reviews...one of your employees delivered my pizza by eating three slices and drinking my drink then she proceeded to tell me my order has arrived and throws it under her Prius in my condo parking lot and runs over the box with what's left inside leaving me to clean up splatter pizza in front of my place.,0.183333333,5507,wish i could attach pictures to reviews...one of your employees delivered my pizza by eating three slices and drinking my drink then she proceeded to tell me my order has arrived and throws it under her prius in my condo parking lot and runs over the box with what's left inside leaving me to clean up splatter pizza in front of my place.,0.183333333,parking lot,2.218774057,1,3
ubereats,531,Uber will actively try and bully you into not complaining if an order goes wrong.,-0.316666667,2854,uber doesn't feel like they deserve to be real humans so they give their drivers 0 worker rights.,0.2,real human,1.429796832,1,3
ubereats,757,Nice app they have your favorite restaurants the only problem for me tho is that your delivery person should focus on one order not have multiple orders from lots of people like I'm still waiting on my delivery and I have an appointment at 11am and it's 10:43am and I'm waiting on my meal but the delivery person is delivering someone elses food you should change that and make them do just one delivery once done they do another one pls,0.275,4637,nice app they have your favorite restaurants the only problem for me tho is that your delivery person should focus on one order not have multiple orders from lots of people like i'm still waiting on my delivery and i have an appointment at 11am and it's 10:43am and i'm waiting on my meal but the delivery person is delivering someone elses food you should change that and make them do just one delivery once done they do another one pls,0.275,someone elses,1.178980924,5,1
postmates,1098,Tried to Order pizza.,0.0,6544,we will be reporting you to the better business bureau.,0.5,business bureau,1.291788623,1,1
grubhub,237,First order the delivery driver disappeared off the face of the earth.,0.25,1566,your entire business model is falling apart and will soon fail if you don't tighten up the ship and hold people accountable.,-0.25,business model,0.881538562,1,2
ubereats,871,"Deleting the app after this review, but i have been charged for orders 3 times now that were cancelled by the merchant.",0.0,5346,even if your order is cancelled by the app or merchant as soon as you place it there is still a 3-10 day authorization hold on the money that twice now has ended up sticking.,0.0,authorization hold,1.158170763,1,1
grubhub,36,The map updates very slowly when you are viewing the progress of the driver.,-0.39,427,"with grubhub you have to go out of your way to do a rating for a driver, so the only people who will likely be doing that are ones who have a negative rating to give.",-0.1,negative rating,1.032923129,3,1
grubhub,242,My bank account was hacked through Grubhub and they cleared out significant amounts of money from my bank all linked to Grubhub.,0.375,1583,my bank account was hacked through grubhub and they cleared out significant amounts of money from my bank all linked to grubhub.,0.375,significant amount,1.019207444,1,1
doordash,1187,I always use Ubereats but the app was glitchy so I resorted to this and regret it.,0.0,7382,"then the delivery person cancelled my order, which mind you, due to their inflated prices came out to double then what it would have been on uber, due to him waiting on line to long, but he told customer service they weren't allowing substitutions.",-0.075,inflated price,0.901519193,1,2
grubhub,430,It's ok but they have drivers that deliver to complete opposite locations of where you are pretty frequently so your food is cold and will need some microwaving.,0.058333333,2269,it's ok but they have drivers that deliver to complete opposite locations of where you are pretty frequently so your food is cold and will need some microwaving.,0.058333333,complete opposite,0.794858009,2,2
ubereats,707,I have ordered using uber eats multiple times and time after time my orders arrive wrong.,-0.25,4315,it is not our fault that they don't have any quality control measures within the system they are creating.,0.0,quality control,0.765610895,1,2
grubhub,67,"Be very careful when you use this platform, check your bank account for unauthorized transactions from this company.",-0.13,677,"i'm aware as the last month i've had 3 different unauthorized uses of my debit card from this company, 2 in chicago and 1 in california, this is not a safe place to order food,.if you're going to use your debit/credit card one way or another this company do not protect your financial information and let others use your cards, it can be someone working for them or their poor security system that allows hackers to get your card information..this is not a safe place to order food online anymore as your card most likely will be used for someone else..check your bank account",-0.016666667,debit card,3.112169205,1,8
grubhub,150,Tried to apply a gift card that i was given but no option to apply so i thought it would apply automatically at check out.,0.0,1167,tried to apply a gift card that i was given but no option to apply so i thought it would apply automatically at check out.,0.0,gift card,12.43536371,1,14
grubhub,25,"So just had a conversation with customer support, I was waiting for my order and it said it would arrive at x time, so I waited and noticed that the driver was at one point just driving in circles near but about 5 blocks from my location, so I thought ok here we go again gps is going to screw things up, I message the driver no response, I call the driver still no response.",0.3,317,well it turns out the gps was just freaking out and the driver was picking up an order for someone else and was waiting for almost 30 mins to pick it up when they could have delivered my food and then gone back.,0.0,someone el,1.633010202,1,10
ubereats,667,I typically use Dash Pass but wanted to try Uber One out.,-0.166666667,4049,"going back to dash pass, they also don't allow you to change the tip, which i fear for the uber drivers getting ripped off when it's not there fault the order is wrong!!",-0.390625,dash pas,11.57079917,2,17
doordash,1139,"For context, I'm trying out DoorDash as my new go-to delivery app because I get complimentary DashPass with my new credit card.",0.190909091,6888,"if i'm being cynical, maybe the idea is to make it so annoying to do so that the user just gives up and settles for whatever sponsored restaurants are at the top of the home page, if they don't just give up on doordash.",-0.3,home page,1.470785554,3,2
grubhub,89,I work at a cafe and yesterday someone called us to see if we were open because their delivery time kept getting pushed back and I had to tell them the driver just hasn't shown up yet.,0.0,806,i work at a cafe and yesterday someone called us to see if we were open because their delivery time kept getting pushed back and i had to tell them the driver just hasn't shown up yet.,0.0,re open,0.790452415,5,6
postmates,1080,"this app is only slightly better than doordash, but barely, i've had multiple orders either incorrect or missing items and have been refused refund's multiple times as well, there's also a new feature that you have to pay extra if you want your food to still be hot when it gets there, the drivers are rude and refuse to follow simple instructions, i've had drivers literally make me walk up to their window and they passed me the food from their car, i work in customer service too and sure i hate it but i still do my job, i thought the drivers would do the same 🤷🏻‍♀️",0.00974026,6468,"this app is only slightly better than doordash, but barely, i've had multiple orders either incorrect or missing items and have been refused refund's multiple times as well, there's also a new feature that you have to pay extra if you want your food to still be hot when it gets there, the drivers are rude and refuse to follow simple instructions, i've had drivers literally make me walk up to their window and they passed me the food from their car, i work in customer service too and sure i hate it but i still do my job, i thought the drivers would do the same 🤷🏻‍♀️",0.00974026,follow simple,1.458902697,2,3
grubhub,310,I am only continuing this app to finish out my trail.,0.0,1887,i missed my lunch time and the food is cold most of the time it arrives… use at your own risk.,0.166666667,own risk,1.286254778,2,2
doordash,1257,As DoorDash has evolved it has taken on more and more shady business practices.,0.25,8021,as doordash has evolved it has taken on more and more shady business practices.,0.25,business practice,1.593645806,1,1
doordash,1153,Me and my girlfriend always have little date nights through door dash being we are doing a long distance relationship.,-0.11875,7033,me and my girlfriend always have little date nights through door dash being we are doing a long distance relationship.,-0.11875,date night,0.947118222,1,1
postmates,1045,Fist of all bought out by Uber awhile ago so already a negative but that's not why.,-0.3,6336,"if you are a regular on the app orders will get canceled for no reason, or they won't follow instructions and still refuse to issue a refund on the food.",0.0,follow instruction,3.430262595,1,2
ubereats,523,I ordered for pickup for nandos and my app autoset to another location 40 minutes away from me.,0.0,2759,"i planned on picking up on my 30 minute lunch break to a location 5 minutes away, i got to the store and they didn't have my order.",0.0,lunch break,0.847776229,1,3
grubhub,234,This was the first time we ordered from GrubHub and everything went smoothly..We have a year membership and we are hoping that GrubHub continues to receive a 5 Star Rating from us.,0.25,1553,this was the first time we ordered from grubhub and everything went smoothly..we have a year membership and we are hoping that grubhub continues to receive a 5 star rating from us.,0.25,star rating,2.040022401,5,1
postmates,1056,I paid for unlimited for months and my husband who doesn't have unlimited would add the same things to our basket and mine was always $20 more at any restaurant….,0.25,6378,"the restaurants charge your more for the same items if you have unlimited- for example adding rice cost me with unlimited $3.50 and my husband without unlimited $2.50.. overall my cart total would always be higher, taxes would be higher and i would overpay on top of paying them monthly.. complete scam and ripoff",0.2,cart total,0.952527923,1,1
doordash,1120,I have been using DoorDash for a while now and it's only getting worse.,-0.2,6632,i have specific instructions for both home and office and in neither location do they ever read the instructions.,0.0,specific instruction,1.254579722,2,2
grubhub,110,The restaurant and places listed along with the me yea give me more options than the other food del apps do so shout out to grub hub I get the deals you would get if you go through the drive thru.,0.1875,943,for example door dash won't have every deal or item you might have when going in person so i love that i know what i want and it's always there.,0.5,door dash,29.42253946,5,28
grubhub,102,"What grubhub has done has destroyed the restaurant business, they've choked restaurants for a high percentage of their profits - they're left with no choice but to work through grubhub to survive  ..They dont pay their delivery workers enough and instead put the social pressure on the customer to pay the wage of their workers.",0.048333333,894,"..companies like this work because in the beginning everything is so convenient and inexpensive, then, once they have everyone hooked on their system, they raise the service fees, they add another hidden fee, they rip the rug right out from under you and now were paying 15$ in fees before even tipping the only person actually doing the work, the driver, who makes next to nothing.",0.023809524,hidden fee,1.071395416,1,1
grubhub,33,As a person that works in the kitchen at a restaurant- I know first hand that when items are missing- it's not a driver issue - it's a restaurant issue.,0.025,404,if they can double check orders they will but ultimately it's the responsibility of the place you ordered from!,0.0,double check,3.188732007,5,6
doordash,1296,Disappointed in the new changes to their delivery system.,-0.306818182,8308,"unless i add the extra fee to have it come straight to me, i have to wait for low quality food that i could've gotten myself in a shorter time.",0.066666667,low quality,0.839791246,2,1
ubereats,529,"This year, my husband threw me a surprise birthday party - we ordered a meal thru the app- it went thru but the progress bar was stuck for over 2 hours on the ""restaurant is preparing your food"" there was even a driver assigned to it - then the order was abruptly cancelled with no explanation - just the usual -we are sorry for your inconvenience- here's a $5 credit towards your next meal- which you may or may not get - .So here we were - no food - not enough money to order again - the credit back was slow to appear - since apparently .I DMed them and posted on social media - they responded quickly - but only made things worse with that meaningless - ""We're sorry we ruined your evening- here's $5 - go away"" then they just stopped responding .Later I found out that the restaurant was closed that day -Uber eats stopped responding - .Sorry but a $5 credit is not going to cut it here - they do not take any responsibility for their own errors - and you get no response - other than a canned reply  - I deleted the app",-0.104901961,2830,"this year, my husband threw me a surprise birthday party - we ordered a meal thru the app- it went thru but the progress bar was stuck for over 2 hours on the ""restaurant is preparing your food"" there was even a driver assigned to it - then the order was abruptly cancelled with no explanation - just the usual -we are sorry for your inconvenience- here's a $5 credit towards your next meal- which you may or may not get - .so here we were - no food - not enough money to order again - the credit back was slow to appear - since apparently .i dmed them and posted on social media - they responded quickly - but only made things worse with that meaningless - ""we're sorry we ruined your evening- here's $5 - go away"" then they just stopped responding .later i found out that the restaurant was closed that day -uber eats stopped responding - .sorry but a $5 credit is not going to cut it here - they do not take any responsibility for their own errors - and you get no response - other than a canned reply  - i deleted the app",-0.104901961,credit towards,0.766725894,2,2
ubereats,663,Never really had an issue with the Uber/Uber eats app itself but my main issue is the number of push notifications they send through.,0.033333333,4016,never really had an issue with the uber/uber eats app itself but my main issue is the number of push notifications they send through.,0.033333333,push notification,1.326083222,3,2
ubereats,725,This used to be a good quality delivery service that at least got your order delivered within an hour of the estimated delivery time.,0.2,4429,"you can watch your order and see it get picked up then sit in the delivery drivers car for an extra hour while more pick ups and deliveries are made… keep in mind, this is after you have paid for direct delivery.",0.2,pick ups,1.581103695,1,1
doordash,1126,"Long term users subjected to dishonest dashing, may not receive fair services or compensation for dishonest deliveries.",0.0125,6727,"then, i'd at least know where to find my order, but they rather say they can't offer me money as the first and only solution leaving a sour taste in my mouth and a distrust in what they think of me and letting me know they see me as a dishonest customer or that my issues are below them.",-0.1,only solution,1.626961464,1,1
grubhub,16,Horrible system just like Seamless.,-0.45,225,they blame me not the drivers they hire or the restaurant that made the mistake or the fact that on multiple occasions i have lost my lunch hour due to there incompetence of not following directions or putting ingredients in my food that i am unable to eat or the restaurant is about 3 hours late delivering my food so they have a guarantee and i collect on that guarantee so if you do then your suspicious.,-0.185,multiple occasion,2.065462063,1,3
grubhub,39,GrubHub has canceled 3 of my last 5 orders.,0.0,456,(meaning it would be ice cold).,-0.6,ice cold,2.90787473,1,3
postmates,1060,My first and only order was all screwed up and then delayed to the point that the first driver left.,0.125,6393,that's on the vendor but the app is really limited in their accountability with how they communicate and resolve problems.,-0.071428571,solve problem,2.393368684,2,1
grubhub,203,"They force you to work on a schedule otherwise they won't give you a lot of orders and will give you $4 orders going 10+ miles away as a punishment and if you reject the order it affects your acceptance rate which they will eventually deactivate you for, they treat their drivers like employees yet they label us as independent contractors.",0.0,1403,this company should not be in business for breaking labor laws continuously and people shouldn't drive for them because they will take advantage of you.,0.0,take advantage,3.722283525,1,4
ubereats,789,I order from Uber eats on a semi regular basis.,0.0,4861,all they said was better luck next time.,0.25,luck next,1.95042216,1,1
ubereats,608,I love the app but I do wish there was a grace period to cancel an order.,0.5,3570,main reason being that i had planned to cancel an order right after placing it because my friend wanted to order food with me and didn't say so until a few seconds after i placed it.,0.084126984,main reason,0.874767038,4,1
ubereats,544,"Supposedly, they allow you to order in advance for up to a week.",0.0,2991,"however, what had actually happened was they didn't like it that i ordered the exact same meal for every day, so they just decided to cancel them.",0.083333333,exact same,2.328946267,1,3
grubhub,31,There's nothing wrong with the app itself.,-0.5,386,"i've had drivers not show up until 30 minutes after i was notified they would arrive, had orders have missing items, and some orders weren't even delivered to the right address.",0.042857143,missing item,3.010423162,4,20
ubereats,749,Uber eats removed my cancel Uber One button.,0.0,4588,they said they dont have the ability to email and cant provide proof.,0.0,provide proof,1.190544006,1,2
ubereats,710,I was considering switching from doordash to ubereats until I made an order and received no driver info or tracking capabilities.,0.0,4338,i contacted support and they told me i entered in an address i never heard of and refused refund even though my confirmation email had the correct address.,0.0,confirmation email,1.769190348,1,1
ubereats,550,It's a fine service.,0.416666667,3046,but what i hate about it is how it tries to obscure you from the true cost.,-0.183333333,true cost,1.156745619,3,3
ubereats,922,Used this service only one time.,0.0,5609,ordered a pizza got it a few minutes late no big deal but the bottom was completely burnt black.,-0.113333333,big deal,3.042346344,1,3
postmates,1050,"If you feel dropping food off wherever and still being guaranteed pay and tips, join Postmates.",0.0,6358,they don't even have an automated message in the help center.,-0.1,help center,1.576115191,1,1
grubhub,413,"To be honest, the only reason I'll give 2 stars is because you were the only app with drivers out right now.",0.221428571,2216,"to be honest, the only reason i'll give 2 stars is because you were the only app with drivers out right now.",0.221428571,only reason,4.448116085,2,7
grubhub,481,"Defaults to 25% which is incredible in its own right, but they also calculate tip based on the total after taxes and fees.",0.446428571,2430,"defaults to 25% which is incredible in its own right, but they also calculate tip based on the total after taxes and fees.",0.446428571,calculate tip,1.150019375,4,1
doordash,1216,YOU HAVE BEEN WARNED!,0.0,7656,"so my order was canceled so i didnt have a choice but to donate $50 which 2/3 of it was not mine, now i owe money and food to 2 people thanks to doordash, plus i lost atleast $50 from yesterdays order.",0.2,owe money,0.950664153,1,1
ubereats,523,I ordered for pickup for nandos and my app autoset to another location 40 minutes away from me.,0.0,2764,"so at the end of all that waiting, where i literally wasted 20 minutes trying to get a refund she flat out says we can cancel it but you'll be charged the full amount.",0.041666667,full amount,3.957027765,1,7
postmates,1063,The fees on here are crazy wen you go ready them and what they are they charge us for the driver to get benefits instead of the company providing them and the service fee is for helps cover cost related to the order but what cost will there be 😂😂🤨 I mean I've literally had a drive tell me a restaurant wouldn't give them my straw cause I didn't request it but got a drink and wouldn't give him one yet I paid a service fee so you would think that would've covered it if I had to pay,-0.178125,6401,the fees on here are crazy wen you go ready them and what they are they charge us for the driver to get benefits instead of the company providing them and the service fee is for helps cover cost related to the order but what cost will there be 😂😂🤨 i mean i've literally had a drive tell me a restaurant wouldn't give them my straw cause i didn't request it but got a drink and wouldn't give him one yet i paid a service fee so you would think that would've covered it if i had to pay,-0.178125,cover cost,0.726791789,1,1
ubereats,503,I hate this app and have officially stopped using it after being played for the last time.,-0.4,2533,i've even had a driver last night just not even deliver my food and they refused to refund me!,0.0,last night,4.565883211,1,5
ubereats,581,Finally done with this app.,0.0,3340,today was the last straw when i received moldy food and was told that it didn't qualify for even a partial refund for the parts that were molded.,-0.05,last straw,1.132801012,1,2
doordash,1162,"When I placed my order through the Chic fil a app, it routed me to finish the order through DoorDash.",0.0,7151,i did not intentionally spend more than $110+ on chick fil a and their support acknowledged they were having technical issues and had me pound sand anyways.,0.25,technical issue,0.967215393,1,1
ubereats,607,Dear ceo and the team that updates the app every time.,0.0,3563,please fix the issue with the live activities being disabled because i would like to see it fixed so i can watch the progress of my order arrive without having to open the app to watch it live.,0.034545455,please fix,5.198398133,5,1
doordash,1151,I have been using this app for several years now and I love using this app.,0.25,7016,"there is nothing wrong with my cards, they work everywhere else just fine i have tried apple pay, adding different cards, i did an update on my phone and the app, i deleted the app and downloaded again and still having the same problem!!",-0.020833333,apple pay,3.958637508,1,1
ubereats,723,3 times already my orders have been cancelled while I was at work.,0.0,4420,for the most part i enjoy this app and they are accurate and communicate well but this has not been the case my 3 orders from subway.,0.433333333,most part,1.300855357,3,2
grubhub,346,I really like this but they don't accept cash!!,0.3125,2023,i would be getting this way more but they don't accept cash😕 i'm a teenage girl and i do things around the neighborhood a lot so i get payed in cash therefore i can't purchase anything because they don't accept cash!,0.25,accept cash,1.159864629,3,1
grubhub,16,Horrible system just like Seamless.,-0.45,224,"i've had problems with drivers eating my food, delivering to the wrong location, not reading my directions, restaurants not following my specifications so because of that grubhub and seamless have dubbed my account suspicious of getting large amount of concessions so this would be a reason to not be able to follow there guarantee of canceling an order if you use the wrong credit card.",-0.030952381,large amount,0.706684361,1,1
grubhub,43,My delivery driver contacted me and told me if you want your food come outside of building complex then he suddenly left when he was in front of the gate and said he thought his gas is low and can't make it to fourth floor and when I told him I gonna report it he said I gonna tell grub hun you don't want your food?!!!,-0.06,489,extremely experience … then i contacted customer service the customer service said you want refund or your food?… i never seen such an experience with uber eats or favor….these all happened while i have already left same instruction that all other delivery app easily delivered the food… and the customer service ended the chat too soon before i can say my request completely… these all happened while my order was expensive and i left a good tip!,0.062037037,uber eats,73.543865,1,109
doordash,1124,"I've had doordash for a couple of years now, but over the past couple of months it has become an incredibly frustrating experience.",-0.325,6695,"i've had doordash for a couple of years now, but over the past couple of months it has become an incredibly frustrating experience.",-0.325,past couple,0.854653269,2,1
grubhub,484,This literally happened:..1) I ordered food..2) App said it was delivered but food never came..3) Customer service says they contacted the driver and he dropped off food in my front door..4) They offered to refund or reorder.,0.0,2436,this literally happened:..1) i ordered food..2) app said it was delivered but food never came..3) customer service says they contacted the driver and he dropped off food in my front door..4) they offered to refund or reorder.,0.0,front door,3.590855565,1,4
doordash,1307,Fantastic service.,0.4,8386,"this feeds in to the memes about doordash that a $5 meal costs $60 hahahah again, this is not a negative review, i am fully happy with your service, i suppose this is just a comment about the times that we are living in.",0.475,negative review,0.834331948,5,1
