r_id,reference_review
14,"..Ordering is SO easy, from a growing number of participating top fast food, healthy and top-notch restaurants."
14,It IS a little pricier but the minimal extra cost is WELL WORTH IT!
14,"Average time from submitting an order to delivery at your door is about 20-35 minutes, or 40-50 during holiday seasons."
14,"And everything is hot, fresh and ready to serve."
14,"..I've been happy with this app's service, overall   However I do have occasional issues, especially within the last 3 months or so:  .1."
14,"Orders that display a status of ""being prepared"" or ""on the way"" but are suddenly cancelled without explanation or notification."
14,.2.
14,"Orders that indicate delivery completed, but never received."
14,These are always cases where they delivered to the wrong address.
14,.3.
14,"And lastly, orders that are missing items, especially the drinks."
14,"..I still recommend this app and I still use it often but I want people to be aware that the service is not without occasional delays, problems or issues."
14,..Renée W. ..Renée W.
29,"I pick up my own orders when I can, but when I am starving and don't feel like going; Grubhub is awesome!"
29,The restaurant's I order from are delicious and the drivers are excellent.
29,I get my orders in a timely manner and the food is hot and the drinks are cold - winter and summer!
29,So treat yourself!
29,I first used Grubhub last holiday season!
29,No traffic headaches and timely service!
29,Holiday testing is a good measure for service.
29,These folks have never let me down!
29,Steak Out has actually hung up on me when I called during the week.
29,Not just once or twice - consistently.
29,The weekend crew is great.
29,"However, Grubhub has never disappointed me no matter what day it is!"
29,Steak Out just loses my business on hang up days!
29,And Grubhub comes through!!
29,!
527,"UberEATS doesn't protect its users… I ordered delivery over the weekend, when my food arrived, I noticed the restaurant overcharged me for an item (I paid for 50 frozen cheese breads in preparation for the holiday season and only received 12)."
527,I reported the issue to them immediately and they told me they don't issue refunds and that I should reach out to the restaurant directly.
527,"I reached out to the restaurant, they admitted the mistake, and said they would offer the refund via UberEATS."
527,"A few days later, I haven't seen the refund credit come through and contacted UberEATS to a response stating that I reported the issue too late and they don't issue refunds."
527,Also something about I have large amounts of refunds on my account—last order mistake I reported was 3 years ago for under $20.
527,"It is such an arbitrary excuse on their part...Basically, the restaurant admitted the mistake, I reported the issue immediately after receiving the order, asked UberEATS to issue the refund, and they refused."
527,I just deleted this app.
527,This is terrible customer service and now I am owed money I cannot get back…it's extremely frustrating!
535,I've never used meal delivery services that I require a membership to be more affordable.
535,But not having to leave my house to shop for groceries and then spend time and effort making meals has been surprisingly rewarding!
535,"Uber Eats has changed the way I feel about ""being too lazy"" to do it myself, because the convenience is a justified reward for worn out full time workers, the elderly and disabled people."
535,"..Ordering is SO easy, from a growing number of participating top fast food, healthy and top-notch restaurants."
535,It IS a little pricier but the minimal extra cost is WELL WORTH IT!
535,"Average time from submitting an order to delivery at your door is about 20-35 minutes, or 40-50 during holiday seasons."
535,"And everything is hot, fresh and ready to serve."
535,"..I've been happy with this app's service with only a couple rare exceptions: Twice my order was delivered to the wrong address, and a couple times they forgot to deliver the drinks on the order."
535,"However, with their excellent Customer Support, I was reimbursed for the entire order or the missing items...This app is definitely worth checking out and is especially a life SAVER for working parents who just want time to unwind after a long day's work without having to shop for groceries and cook."
535,I highly recommend Uber Eats!.Renée W.
960,"I have had not one, not two, but three drivers in the course of the last few weeks pick up my food - drive it all the way to me and disappear and all I get back is Uber cash - not a refund to my card."
960,And the two deliveries I used that didn't show was used from the Uber cash.
960,Just pointless.
960,I have a ring doorbell camera and a detailed description in my notes of my house.
960,No one ever showed.
960,I had to contact my bank for fraud to get an actual refund and submitted a new card.
85,"Recently, I placed an order for my elderly mother."
85,"The driver dropped the food at the house next door, the proceeded to curse me out when I asked where she left the food."
85,Apparently she was too stupid to notice no one lived at the house next door.
85,This wouldn't have been a problem except that I live in another state and my mother was unable to walk to the neighbor's house on her own.
85,Grubhub needs to better assess the basic intelligence of their drivers in the suburbs.
85,I've never had a problem in the city.
85,But the suburban drivers are viscous.
85,Had to have the order refunded b/c Grubhub could not guarantee the same moron wouldn't be the driver of the order was redelivered.
183,"Thank you to a great concept, it helps my sister and I get good hot food to our elderly Mother and her mentally challenged sister."
183,We both live too far away to get healthy food to them on a regular basis.
183,Being able to get them something different and tasty is very important.
190,The app works fine.
190,"The company, honestly, NEEDS to go out of business and replaced with something that isn't a joke."
190,Nearly 80-90% of my ordered have some form of error or issue.
190,"..Tonight, our first order was canceled after waiting over and hour."
190,"..The second order arrived, now 2.5 hours after we initially ordered our first order (when we started getting hungry), and an ENTIRE entree is missing."
190,"My elderly mother did not get the food she wanted, and because we all purchased spicy items or other items she can't have, she had to eat crackers and tuna."
190,..This is just ridiculous.
190,"..You wouldn't have to steal so much of the restaurants money, if you didn't have to cover the costs of so many errors!"
39,GrubHub has canceled 3 of my last 5 orders.
39,"Today, I ordered from shake shack and got a text from shake shack that my order was ready."
39,I looked in the GrubHub app and it didn't have a driver assigned to my order.
39,"I reached out to customer service and the agent, Ralph, after I said that I got the text from shake shack still told me that my order was in the works and they hadn't assigned a driver as a result."
39,I said it wasn't still in the works because I received the text from shake shack that it was ready.
39,As a response he just ignored what I said and repeated that the order was in the works and would arrive in about 40 minutes.
39,(Meaning it would be ice cold).
39,THEN they canceled my order meaning my order is sitting in shake shack being wasted and I don't have time for lunch.
39,Ever since GrubHub bought Seamless the service has been atrocious.
39,I miss old seamless.
714,Uber Eats is a great service.
714,But the last time I ordered from Panda Express was less then pleasant.
714,Is it just me or are the portions getting smaller and smaller.
714,They modify their boxes so they don't give you as much food?
714,It's disturbing.
714,Charge whatever you need to but I want what I want!
714,I ordered from Panda Express today again and this will be my last if the quality and quantity isn't there.
714,I want my fried rice to be full!
714,And my Beijing Beef!
714,"If not, there will not be anymore ordering from this restaurant."
785,Ordered a Panda Express meal which included around a $15 entree.
785,It was not delivered despite charging me.
785,No phone number to call except delivery person.
785,Who upon being notified of error notified Uber Eats.
785,The app said to go through app fir resolution.
785,No response except by email to go through app and also through email.
785,Neither produced any results except saying they are not able to refund.
785,.Worst customer service experience ever.
785,Truly frustrated    After a week of hoping for a resolution without any type of offer to make me whole I have deleted this app and will never use them again
603,I've used this app to make probably over a hundred orders over the years..One of the reasons I was so happy to recommend it was my experiences with support.
603,"Sometimes, things go wrong, and Uber usually makes it right for a customer like me."
603,My views on the company changed today.
603,".I just had to watch my neighbor wait over 2 hours past her estimated delivery for her driver (who had their phone off) to finally mark it ""delivered""."
603,"15 til midnight and she is having a borderline blood sugar crisis, and I'm having to drive to Taco Bell because the original restaurant (BJs) is closed..Support chat was entirely automated, or at least not literate."
603,They did not answer her concerns.
603,No phone support for customers.
603,".Literally, call me."
603,Don't expect more orders or subscriptions from me if you aren't willing to let me talk to a human about what I just saw.
603,Selling my stock Monday jfc
768,I can't find a single way to change the type of notifications I get from the app.
768,"I can't turn off notifications in my phones settings because I need notifications when I actually order food, but I receive 5 notifications a day minimum for different promotions."
768,I don't need that and there should be a way to disable promotional notifications.
768,..I won't even get into how expensive the service is either.
768,A $10 order from Taco Bell costed me $23 in the end and that's with Uber One which is suppose to be less or no delivery fees?
863,You should do better with your restaurants!
863,I still have not received my refund from Friday night!
863,I did not receive half my order had to order again cz nothings open that late besides Taco Bell!
863,First order that wasn't all there took over an hour and the 2nd order took 45 min!
863,I deserve a full refund!
863,Food was cold also!
863,Ridiculous and never again!!
863,This has happened a few times through Uber Eats so I do believe I will use someone different!!
863,I pay for that food plus a tip!
863,!
1027,I ordered taco bell and got 4 things of nacho cheese and even ordered extra cheese.
1027,I got no nachos and just cheese and all the cheese was empty.
1027,I have contacted the company and is waiting for them to contact me back but overall this is the first time it's happen.
1027,Also it said I was getting my order picked up by one guy and then switched to another guy and the guy that delivered the food is a different person.
1027,It says to rate the guys delivery but it's not the same guy.
1027,Do I think he ate it?
1027,maybe .
1027,The bag wasn't open or ripped and it was tape down with the stickers so I don't think so but It was just weird.
1205,"They always do everything right last time, always getting my order right, I just don't mind the missing items at all, but this time I'm quitting this app and uninstall it, one of the dasher's name is Vincent stolen my big meal order from Taco Bell, trying to trick into thinking it is here at my front of my doorstep but it's not, and never there so I cancel my subscription and everything else and never will come back here again, they needed a better dasher and higher security to prevent thefts from stealing our food that we ordered, such a ashame, never wanna use this again, I can see why the DoorDasher didn't even take a photo screenshot for proof that it is laying right in front of my doorstep….so it is definitely stolen, I looked everywhere for my meal even in the neighbor's next door house on the front of there doorstep… never again!!"
1205,"Almost $100 down the drain, customer service is still horrible… I wanted my refund now!"
1205,!
1216,YOU HAVE BEEN WARNED!
1216,"!IF YOU HAVE CARE ABOUT YOUR MONEY OR HAVE FINANCIAL PROBLEMS, DONT BOTHER ORDERING HERE!!!"
1216,ITS THEFT!!
1216,GO TO UBEREATS!
1216,ITS SLIGHTLY MORE ON PRICE BUT THEY ARE PRECISE!!
1216,"!if i could give a 0 i would, my last 3 experience hurt financially because they basically stole my money and food."
1216,i made an order with taco bell yesterday 6 am and waited an hour for the store to say they couldnt find my order-.- THEN later that day i made an order and my dasher with towards henderson instead of north las vegas and when he got to me half my food was missing and it was all cold.
1216,"then just now i made a Dennys order and it was accidentally for pick up which i chose delivery okay, and i contact support for them to say they can cancel it and i can reorder it, so she did and connected me to another agent who couldnt refund me…."
1216,"so my order was canceled so i didnt have a choice but to donate $50 which 2/3 of it was not mine, now i owe money and food to 2 people thanks to doordash, plus i lost atleast $50 from yesterdays order."
1260,"I use DD all of the time, and I'm even a dasher myself."
1260,"Though, I feel like there could be some ways the communication between the dasher and their customer(s) can be better...• a way to see how busy an area is when ordering to get a rough gauge of how long the delivery may take..• a pop up of sorts, that would encourage a customer to tip more if an area or specific restaurant has long wait times, like for Taco Bell at night time."
1260,.• the ability to let us choose a cash tip option.
1260,"Sometimes it's much easier to tip cash, but since it's a dying currency, I can understand why it's not an option."
1283,"Probably done 100 orders on door dash, Been getting meals 30 min delays."
1283,Not the drivers fault.
1283,The calculations are way off.
1283,It's getting annoying...Started ordering from this Taco Bell that constantly messed up my orders.
1283,"First 3 times DD refunded my money instantly, it was away s 2 small items."
1283,Then one day they said no more refunds.
1283,Got on with help center.
1283,They refused to help.
1283,Kept sending robot responses.
1283,"I said cool you are just doing your job, please send confirmation you have sent this issue further up the chain, I even have video proof of me opening the food bags."
1283,No confirmation email.
1283,No reply to me requesting that I wanted a confirmation email.
1283,"They would close the chat, i would re open it and they kept shutting down the chat."
1283,"I would expect this of a scam caller, but not a big corporation."
1283,Very garbage.
1311,I've driven for DoorDash and they barely break even .
1311,"They're overcharging double ""local"" fees."
1311,Just straight up money that can last you decades all of it goes to you guys.
1311,3 Taco Bell items for $31 ?
1311,Dang I know inflation is bad but you can do better .
1311,Be grateful you were successful with this app but just remember how it started before more people realize and your income declines.
1311,"This will make a great rant for 3.2 mil people 😂😂🤣😊 stop being greedy and lower the ""local"" fees or at least just charge me once not 2x local fees .. the restaurant is up the street for $31."
1311,This is in PDX.
1311,You guys already billion dollar company 😂😂 just scamming the poor.
1311,This company does not care about anything besides their money.
1311,Great PR 🙃.Some will steal your info as well and charge your whole paycheck.
605,DOORDASH and POSTMATES >> uber eats ..Do yourself a favor and do NOT use Uber eats.
605,"My father died recently and I simply needed food delivered, as I was too depressed to go out."
605,"..I paid extra for ""priority delivery"" so my food would arrive at ‘6:20pm latest' according to the app."
605,At 6:50pm I start getting upset as my order was now over 30+ minutes late.
605,"..Why did I pay extra money for ""priority delivery"" to have my food delivered much later than the advertised time?"
605,"I then tried getting connected to support to be refunded the ""priority delivery"" cost, since that was false advertising."
605,I asked to speak to the manager and was disconnected from TWO extremely unhelpful customer service reps.
605,"The second one was named pranveet, I believe."
605,Both reps said they would send me an email so I could file my claim.
605,..Neither of them ever sent me an email.
605,Staff was lazy; they lacked basic compassion and effort.
605,Because of .A) False Advertising and .B) Unhelpful and Lazy Staff .I immediately deleted my Uber Eats app.
605,I will NEVER use it again and would NEVER willingly give my business to such a dishonest company.
605,..DoorDash and Postmates treat customers with a much higher level of respect and integrity.
605,I highly suggest going that route instead of being scammed by UberEats.
605,Your choice.
978,I do not have money to waste when there are days I literally starve so I'm not going to continue to waste my time trying to save money when you end up spending more .
978,These support people do not care and just frustrate you even more .
978,I receive a message that says don't wait to claim your $20 off and a meal on us but it seems like it's just a way to get you to pay something else .
978,This is false advertising and deceiving people and shows no respect or concern for any customers .
212,Not feeling well so have gotten grub hub this weekend for the family.
212,I've ordered it 4 times in two days.
212,Three out of four times the order was wrong.
212,The last time it took 2x the length of time it was suppose to and when it got here the ice cream was almost completely melted.
212,Did I mention it was not even the correct order?
212,You pay extra for convenience but all you get is cold food you didn't even want.
555,Experienced total dissatisfaction with the whole app and services.
555,I did not appreciate the way in which their customer service rep implied dishonest behavior on my part.
555,There had been a 3 separate incidents back to back in which errors were made to my orders.
555,As expected I'd reported those issues and the first 2 times they'd issues a refund.
555,And although the refund is great it still did not make up for a total waste of time and a complete let down when the food I expected to received was not delivered as expected.
555,"However on the last reported issue, not only was I denied a refund but my issue was not taken seriously."
555,I had picture evidence of the fact that I received 2 orders that were wrong.
555,"In addition, one pint of ice cream was missing it's safety seal."
555,"The customer reps just kept saying that my ""refund activity"" did not allow for a refund."
555,In addition they just said to rate the merchant directly so that those issues could be avoid in the future.
555,I'd highly advice not to use this app!
790,"I ordered a pint of ice cream, and seconds later tried to cancel and change my order."
790,The app let me cancel and afterwards mentioned I would not receive a refund.
790,So I end up paying $20 to get nothing in return basically stealing my money.
790,Customer service said there's nothing they can do and refused to help me with either a refund or credit.
790,Customer service also said I cannot pick up the item I ordered even though I paid for it.
790,..Please change your corrupt policies and maybe I'll use this again but for now I'm using DoorDash and Lyft since they care about their customers.
937,"I just had some ice cream delivered to my clients house for getting under contract in the sale of their home..They were given a brown paper bag with the ice cream in it, and ‘Angel B' written On the bag, and THEN they were given a flyer for the driver's animal aromatherapy business...Excuse me!?!"
937,I did not order anything remotely close to aromatherapy for animals!.
937,So to say my clients were a bit confused is an understatement.
937,"They said they were like, ‘Is the ice cream therapy for our dog?"
937,We were so confused!
937,"'.🆘🤬🤬🤬.She can hustle her animal aromatherapy on her own time, thankyouverymuch!"
937,"!..No need to screw up a delivery even further… I am Angel P, not B."
937,"..And btw, this was the absolute first time I have EVER used Über Eats."
937,.What an introduction!!!
937,!.I would love to take my tip back from my order.
937,The only thing she got correct was the address and that was cuz it was on the ticket!..Unreal.
1123,I've used DoorDash quite frequently over the past two years.
1123,However lately it seems I'm having more more issues with my food not being delivered to the correct address or Dashers picking up other orders and my food getting here extremely late.
1123,That has even happened when I've ordered things such as ice cream.
1123,I think the worst part about it is that some of these Dashers do not respond to your calls or messages.
1123,I could easily direct them to my house which is not at all difficult to find.
1123,GPS takes anyone directly to my driveway which is only 15 feet long.
1123,for a long time my orders often came without the drinks.
1123,Therefore I stopped ordering drinks.
1123,But now there seems to be issues more and more.
1123,The worst part is often times I only get partial refunds when a delivery does not go well.
1123,Or when the delivery is delivered to an entirely different place I get offered to have it re-delivered.
1123,But then the new Dasher ended up still picking up somebody else's order before mine and then came to my neighborhood with blaring music that caused some of my neighbors to step outside.
1123,Very embarrassing.
1123,I was afraid to even complain about the loud music as this person obviously knows where I live.
1123,All these issues coupled with the high prices make this no longer worth the trouble.
1123,therefore I have deleted the app and will no longer be using.
48,"Subway does this because it has franchises as individual owners, and screws the bottom line, but Arbys could easily get a boost in business if they put QR codes on their coupons."
48,"..Sure, they lose out on a dollar or something for every one, but corporations can easily afford to do this."
48,"People don't have cars, and when the weather gets rough for people who bike from place to place, things can get out of hand."
48,"Plus, it gives the coupons people usually throw away a solid use, while also giving people a means to get their money's worth...If college students get a ton of these in their mail every week, then why not make them worth the gas, paper, and landfill waste?"
48,"Arbys can do better here, and it'd be great to see that happen."
792,I am a college student who was recently on fall break at home.
792,I decided to order 70 McNuggets from McDonald's to feed my family and found that a 10 piece McNugget was missing from my order.
792,I appealed for a refund and opted for the Uber cash (the apps currency) option.
792,"A week later as I'm  back at school trying to order food I find that they not only still charged my card for the full amount including the $5 tip I added for my delivery driver, but they also took another $5 tip from my Uber cash."
792,I am now highly frustrated and unsatisfied with this service.
996,"I used to enjoy this app as a college student, but the last food order I had came ice cold and Uber did not do anything to fix the problem."
996,The order I currently have was promised by 9:45 as an UberOne member but all of a sudden they changed it to 10:15 without keeping their promise of gifting $5 if it came after 9:45.
996,This has gotten annoying and I can't afford to spend this amount of money on poor quality service/planning.
20,We ordered lunch at 10:30 with an 11:15 expected delivery.
20,Around 11:35 we start wondering where our food is.
20,No correspondence from our driver.
20,I look on the app and it says our food has been delivered.
20,We check all door locations- no food.
20,Start chatting with customer service and they won't give the drivers number or any form of communication.
20,They say the driver is no longer responding and that they cannot reprocess our order.
20,"By this time it is noon and to reorder, there is a 50-60 minute wait."
20,We ordered $90 worth of food which they said they would refund within 3-5 days and offered a $10 coupon.
20,"So by 12:30, we have no food, we have an hour wait for anything else and we have a $10 reward to a company that clearly does not vet their drivers."
20,I'm sorry but $10 is not enough to make up for the severe inconvenience and lack of ability to make it right in a timely manner.
20,Will definitely be using different apps from here on out.
245,I love GrubHub they always come through when I'm hungry.
245,GrubHub has the best drivers GrubHub brings the best food and it does it in a timely manner there's just something about Grubhub that I can't live without absolutely love it.
245,I love the city of Portland and I love GrubHub service in it.
602,Irritating to see functionality removed from the Uber eats tab in the Uber app in order to shill this completely gratuitous extra app for what?
602,Advertising?
602,"""Metrics capture""?"
602,"..There's an existent business model built into this already, that every 17 year old with a second honda and a desire to earn money has figured out for the last 50 years."
602,"Explicitly stated, your customer base is interested in exchanging money for food, delivered in a timely manner."
602,There's really no need to introduce customer-adverse complications.
602,"I'm available for consulting if you need a picture drawn...And stop adding single percentages to a tip already based on your garbage fees, rather than the food totals."
602,You think no one's going to notice that 21% is the new 20%?
602,How long do you think that will work?
602,Is this really better than remunerating your drivers?
602,Lame scam behavior.
602,Be better.
638,We ordered from this app and not only got the complete wrong order but received awful service along with it.
638,We ordered 30 wings and received one hamburger and zero wings.
638,When the driver called his service line they said they couldn't help us and to call the customer service line.
638,When we called them they said they could give us a refund for the wings but would give us no actual help with getting our food in a timely manner.
638,Uber Eats customer service refused to help in anyway except giving us a refund for the first time we ordered.
638,"So, we had to not only pay for our wings at wing house, so the money was charged twice until the refund eventually went through, but we had to drive to wing house ourselves to get the food so we could actually have our dinner."
828,Look.
828,"I get that in order to make more money, drivers do several pick ups at a time but this has gotten ridiculous."
828,"My orders are starting to come after the ""latest"" time given because the driver has multiple stops between the restaurant and my place."
828,It takes forever and my food is cold when I get it.
828,I don't wanna down rate the drivers but there should be a limit so people are getting their food in a timely manner.
838,"While I understand that all food delivery services have there share of problems, Ubereat's customer service leaves a lot to be desired."
838,I literally received raw food and have not heard anything from them.
838,This is the only food service platform that I have issues with the customer service taking so long to address an issue.
838,"I understand that certain things need to be reviewed, but places like DoorDash have been able to go over what happened with me in a timely manner."
838,Gonna use up the last of my gift card with them then uninstalling!
1077,I would urge you to use other food delivery apps.
1077,Postmates will charge you for undelivered orders simple because they could not provide the service they pride themselves on: delivery food.
1077,"You cannot receive a refund for a canceled order because they took too long to TRY and locate a driver..I will reiterate, USE A COMPETITOR to deliver you food in a safe and timely manner!.Location: major metropolitan city in the southwest."
1196,"DoorDash is awesome, especially for.parents who both work and sometimes just don't have the time or energy to make dinner."
1196,My biggest complaint is that lately Dashers have been picking up multiple peoples orders at a time.
1196,"When this happens, our food gets to us cold because the Dasher has driven around to other houses dropping off the other orders."
1196,"I understand the concept of efficiency, and that they are trying to make the most of their trips."
1196,"But it becomes problematic for the food temperature, and because the food ordered from DoorDash is more expensive than ordering pick-up from the restaurant app directly, it's expected that the orders will come correctly, in a timely manner, and warm."
1196,"Other than that, we've had pretty good experiences with DoorDash, which is why we did the 4 stars!"
1202,Okay this review is coming from a customer and a merchant point of view.
1202,"As a customer I have been screwed over by doordash countless times; cold food, missing items, cancelled order an hour after I placed it, etc."
1202,everyone is short staffed (I manage a restaurant) so if you do not have drivers why are you allowing customers to place orders??
1202,If a customer complains that the food is extremely cold or has a major piece missing why do you think $5 or less CREDIT is suffice??
1202,"As a merchant; if the first driver cancels after they have already picked it up, why not notify the restaurant so we can remake in a timely manner for the next driver, and the customer??"
1202,"Also check the attitude of some of your drivers, you send them to the restaurant 10-15 minutes BEFORE the order is scheduled to be picked up and we receive nothing but attitude at the restaurant."
1202,All and all this company needs to reassess how they do business.
1202,I should not be upset as a customer and merchant.
695,My Burger King order was 50 minutes late (11:15) from being picked up so I decided to cancel and order at another place.
695,I was not informed that cancelling the order would have made it so that I couldn't even order food at all because it stops at 10:30 in my area.
695,THIS NIGHT my Five Guys order took 90 MINUTES to get cancelled BY THE DRIVER!
695,"The driver had asked me an hour prior to the cancellation for my address because the app was bugging out (which it was), so I gave it to him."
695,No status updates for 40 minutes so I message him and 10 minutes later he cancels my order after reading my messages.
695,After TWO experiences like this I am highly unlikely to order from Uber Eats again.
739,"I ordered from Burger King, and over an hour later the delivery driver told me the ""app did it wrong"" and he had the wrong order but support wasn't answering him."
739,"He dropped it off anyway, it wasn't even from Burger King."
739,"I called customer service and they told me that they couldn't do anything until the driver marked it as ""delivered."""
739,"Once it was delivered, they said they couldn't redeliver because it was already marked as delivered."
739,They also said they couldn't give me a refund or credit because I'd complained about another order before.
739,"They took my money, provided no service, told me I was the problem and there was nothing they could do."
739,Nightmare service.
644,I don't use food delivery apps too often.
644,They are expensive.
644,Tonight I craved wings.
644,I order 16 bone-in wings and 22 boneless wings.
644,The restaurant told me they told the drive they were out of bone in wings.
644,Driver didn't mention it.
644,"I went to eat, opened one package and found 1/2 an order of boneless wings."
644,I opened the app.
644,I stayed it was half an order.
644,They credited me back 5$ worthless Uber eats dollars on a 66$ order.
644,I opened the second package and found the other half of the boneless wings.
644,I can't change this on the app in any way.
644,It says I've already been compensated.
644,The bone in wings that are not present are waaaaay more money.
644,There is no way to change it.
644,No way to get a refund.
644,No way in the app to even leave feedback.
644,You can keep your stupid 5 Uber eats Monopoly money.
644,Im never using Uber again.
517,I was a Uber one member until it wouldn't let me add a payment method and I just couldn't use the app.
517,When trying to resolve the issue they kept saying they were getting a tech error and I would be contacted back when I didn't.
517,"When finally asked for a screen shot of the issue, it accidentally finally worked with one payment method and accidentally signed me up for a year which I didn't want."
517,"I asked for a refund and to cancel my plan, when they tried to put it through again they said they were having a technical error and tech support was supposed to reach out."
517,TWO WEEKS later I am still trying to contact and get the issue resolved and I have had no help.
517,This app has become terrible.
517,Service is terrible from not only Uber customer service but the rides are super slow because it doesn't even seem they have enough drivers.
517,Terrible expirience all around.
517,Still waiting for my refund and now I'm going to have to go through my credit card it seems.
517,Still don't know how I'm going to get my account cancelled and really hope I don't get billed again so I have to deal with multiple cases!
579,I just had the worse experience with this app.
579,"I ordered priority delivery but after more than 40 minutes my order was still late, never arrived even past the projected latest arrival time."
579,The time never updated and my driver didn't even look like he was moving.
579,"The worst part is that even though all of this was going on, I couldn't cancel my order until I was finally connected to a customer service agent who was extremely rude."
579,"I have screen shots, refunded my money and disconnected the chat."
579,"I asked to complain and they rudely disconnected the chat, I have to believe that's by design as the company does not want to handle complaints."
579,"That's fine, I got my money back and will filing a complaint with BBB."
579,App was promptly deleted😆😆😆
735,IF YOUR TIP ISNT $10 OR MORE THE EMPLOYEES WONT PICK UP YOUR FOOD.
735,"I waited almost two hours for food to be delivered that they just canceled after an hour and 45 minutes someone finally picked it up, was going back and forth with Rohit D one of your employees and left the conversation at ok, I'll let you know if the food that's been sitting there ready for 45 minutes is any good it's bread so I'm gonna assume not."
735,I told them if the food was bad they would hear back from me but if it was fine thanks I appreciate it.
735,".Right after I send that message I get a notification my meal was finally picked up, two minutes later it was canceled."
735,.I have screen shots of the whole conversation with this worthless humans.
788,"2 Days ago I put in a order to Uber eats, my driver canceled my order and claimed they attempted to call and get in touch with me but never did !"
788,"I had a 42 dollar order , And Uber eats did nothing to help me get my money back , after emailing repeatedly they claimed I canceled my own order ."
788,"I then sent them screen shots of her cancellation of my order , they still continued to do nothing!"
788,So not only did I never receive my food but I also never got a refund for the food I never got!!!
788,UBER EATS it should not be this difficult for a customer to get a refund after a terrible experience like this !
788,!
788,I will no longer be using this app!
824,This is why I stopped using these third party apps.
824,I placed my order and was not able to edit it because of an app error.
824,Also would not let me edit it on my computer or tablet because of errors.
824,Reached out to customer service who told me to wait for delivery and then contact them again for a resolution.
824,So I did.
824,"In no way is this the drivers fault, but Uber customer service told me there was nothing they could do because the order was complete."
824,Want screen shots of the conversation?
824,I've got them if anyone wants to see.
889,App Never let me / prompted to add the menu item or discount for an extra item.
889,Was weird didn't get free menu item Or option to add one.
889,Happened two nights in a row.
889,Have screen shots can send.
889,Everything else is great but was weird it would not let me add menu item to mc Donald's order over $15 2x in a row
1037,I ordered my pizza.
1037,"Took screen shots of the order, with details of what is on pizza."
1037,"This Sierra girl sends a message to me asking what is on my pizza, when it's clearly in the description."
1037,I'm watching the click tick down.
1037,I'm watching her read the messages!
1037,Never responds back after asking me that one question.
1037,And I never here from her.
1037,"Hour later I call the number on her profile as it says my order is still in transit, a man answers and tells me my order was canceled."
1037,What?
1037,My husband told me not to use Postmates!
1037,Will never use again
131,So basically they drivers can steal your whole meal or even half the meal you try to get a refund they going to say they can't cuz your account is under some suspicious activity's idk why y'all think y'all company is so perfect it's not y'all have people that steal food or wont bring you your food and or food made completely wrong so basically if you order something it's a high chance I might not get it or my order wrong so take my money and give me whatever and interrogate me like I did something wrong yall services are very bad
328,Worst customer service when there's an issue.
328,Account gets flagged and frozen for normal use of having food delivered but they claim suspicious activity.
328,I'm sorry isn't that what GrubHub is?
328,Food delivery.
328,Customer service gives same robotic answer that's in some book somewhere.
328,They don't care about their customers.
846,"My phone got ""suspicious activity"" on it so I can't use it ever again for Uber when I don't feel like I did anything wrong."
846,I feel like there's no justice here and Uber is selfish like Microsoft and doesn't care about us the customers.
