extracted_features
social medium
be inconvenient
be infuriate
be insane
be overprice
be pricy
be tamper
be unhappy
protocol be
suggestion be
grocery delivery
speak doordash
department have
have decent
warn have
do expect
problem doordash
miss meal
deliver right
agent give
hub say
recommend use
quality service
take day
keep say
person tell
decide take
arrive receive
be ready
be pretty
be useless
thing need
tip person
receive refund
min try
price come
put wrong
contact driver
be efficient
be obvious
get car
great service
meal day
cancel order
dasher deliver
incorrect order
original order
allow use
hand food
deliver house
delivery address
more hour
be available
do accept
do mind
get compensate
get simple
give free
need find
be ridiculous
go look
grubhub year
fail do
problem other
provide service
delivery service
meal other
chat say
delivery driver
wait store
extra hour
expect customer
get full
chat customer
have enough
have become
have hear
service please
doordash postmates
much refund
wait second
entire order
guy deliver
amount refund
call ask
accept order
need help
frustrate use
leave food
app let
time week
go grub
different driver
driver pick
provide refund
restaurant forget
add tip
dollar tip
give next
get screw
option other
other option
be absurd
be acceptable
be fan
be generous
be amaze
delay delivery
wait business
bag food
reason call
deliver food
support person
new place
item miss
subscription service
driver bring
make seem
do allow
other day
complaint get
have specific
food mark
food tonight
multiple issue
order mcdonalds
third order
wrong place
least doordash
make more
be crazy
try call
way many
support first
charge anything
receive anything
refund money
food come
have spend
person work
be upset
speak customer
give full
get refund
doordash fix
driver answer
most restaurant
postmates uber
be lazy
have lose
location call
top delivery
do nothing
be bike
be closed
be convenient
be tired
have problem
refund due
do waste
make look
make new
experience first
card try
call tell
be perfect
be super
go check
full time
fee charge
expensive use
make experience
lot place
different delivery
experience bad
try steal
be sick
refund gift
get message
show wrong
realize have
start use
text driver
want see
allow customer
get free
take account
other fee
call say
receive meal
be busy
be disappoint
be happy
be ok
acknowledge be
be allergic
be disabled
be frequent
be necessary
be nightmare
be rush
be tie
confirm order
rest order
get money
get cold
refund part
sorry refund
decide use
receive wrong
mess order
do realize
try place
get hold
issue end
service provide
doordash allow
quality delivery
same restaurant
least give
able get
be gon
uber eat
good thing
most driver
fault driver
be absolute
be awesome
be joke
do show
uber pas
change delivery
wait day
part order
account find
occasion have
driver confirm
do mention
do plan
promise do
love use
be disappointing
be lock
be seal
be stale
be surprise
starbucks be
be fine
be prepare
second try
deliver address
something go
love uber
take multiple
mark order
tip price
be nice
do feel
cost money
amount pay
restaurant close
more minute
receive food
doordash let
end pay
driver available
app confirm
food prepare
status order
report restaurant
find charge
be glad
be likely
be weird
go menu
do seem
be awful
recommend uber
use own
good doordash
driver leave
order exact
have ability
support say
available app
be annoy
be important
do answer
be easy
tell check
complete order
agent say
offer give
app store
be cheap
pay tip
order grocery
receive call
last minute
keep good
add item
go different
account credit
late delivery
tip driver
doordash grubhub
be deactivate
app save
go stop
be horrible
do receive
able make
next order
come find
be worth
do compensate
others do
great app
be fair
multiple item
want give
fact driver
have feature
food sit
lot time
separate order
amount money
try send
need contact
do respond
have figure
late hour
many refund
give someone
reach driver
new restaurant
anything call
want know
find place
driver take
fault restaurant
restaurant menu
have deal
issue refund
use service
say help
money business
pay dash
be amazing
be frustrate
be locate
be loyal
be rude
be safe
be unfair
be unreliable
cc be
ordering be
be force
be sad
be stupid
update app
help issue
have proof
dash other
able give
order direct
make thing
get response
order pizza
dasher make
hour think
wrong miss
need good
entire time
be hungry
order local
order yesterday
do think
drive place
day try
fine service
contact uber
end cancel
keep go
get lose
guy do
hour wait
start get
delivery time
keep make
fee keep
be great
end call
send driver
try add
be helpful
be possible
error get
app allow
restaurant decide
food incorrect
review app
try use
eats dollar
get real
assign order
order burger
pickup order
wrong item
work company
think doordash
be fault
eats year
try change
have multiple
deliver first
be disable
app state
come pick
sure get
house take
month have
people money
get small
previous order
review place
job do
tell receive
tonight have
platform have
trouble have
be hack
entree be
get own
use other
service refuse
price item
come way
be huge
tell drive
doordash credit
same item
have start
worth time
picture driver
wrong card
team do
delivery option
dinner time
service love
be approve
be clear
be false
be professional
be punish
be starve
app show
hour minute
use credit
delay driver
do follow
cancel wait
app phone
take more
straw be
keep get
new customer
picture app
charge thing
anything make
show hour
cause do
item arrive
get ready
charge dash
joke order
order mine
recent order
contact help
own delivery
button do
think take
order something
ask tip
have issue
say least
be accurate
be college
be delicious
be greedy
be inedible
be lucky
be present
be struggle
be wonderful
be worthless
corporation be
expectation be
reflect be
rice be
stale be
yes be
be certain
be design
be glitch
be warm
look app
point use
driver refuse
month uber
deal restaurant
deliver cold
eat food
store do
fix app
find good
do work
year use
get delay
refund end
call door
make money
day go
pay meal
be bug
service response
tell happen
picture food
star use
get food
do scam
be complete
be expensive
charge delivery
grubhub first
hungry do
same place
be rip
be true
be close
refund business
have enter
notification app
other way
anything give
food delivery
cancel last
extra delivery
app few
try cancel
wait see
best driver
instruction driver
today order
tip more
allow driver
be cold
pay option
ask want
go change
hour try
buy get
price doordash
hour more
day work
appear be
be disappointed
be limit
gps be
customer year
order lunch
deal uber
hour cold
have forget
refund miss
good bad
thing go
customer long
best app
whole app
try get
pay delivery
correct order
minute get
continue do
have happen
be hot
try find
get right
have delete
have notice
have pass
buy food
end take
future order
order favorite
deliver multiple
be miss
be sorry
day make
issue keep
have many
order arrive
tip receive
be kind
be major
be scammed
go get
take way
least get
hard get
hope get
item receive
receive item
pick minute
other time
fact have
arrive restaurant
send restaurant
app work
time live
wrong order
wish have
restaurant look
want cancel
get email
last order
account try
give business
be terrible
whole order
issue last
customer experience
grubhub need
notification get
have complain
have drive
issue credit
want account
say need
refund everything
be sit
be automated
be ice
be kick
be limited
be stock
cream be
insane be
suppose be
world be
yesterday be
time update
one have
eats door
save time
time follow
do let
town have
upset have
take tip
sorry do
claim food
people take
take people
driver arrive
have wait
drive restaurant
cause have
someone say
bad app
miss wrong
time happen
be impossible
consumer be
pick receive
late time
get job
job get
pay fee
have car
be warn
idk be
lol be
ticket be
food quality
people use
give same
ask wait
hour place
good way
be case
single order
work contact
eats last
first order
want credit
food cost
service tell
complain order
do mean
be hard
be disconnect
be hop
have dinner
low have
different service
issue see
someone cancel
driver keep
keep tell
order pickup
upset order
year have
second delivery
use lot
assume be
be notify
be real
food leave
saw be
meal deliver
driver call
tell many
place see
dollar uber
good customer
get mess
experience grubhub
charge fee
confirm have
hungry have
do good
get wrong
unacceptable be
delivery location
get ridiculous
think uber
update delivery
option cancel
time reach
cancel charge
wait contact
please do
order chicken
app least
tell contact
want money
do convenience
order today
half order
wait more
use love
try see
driver show
show driver
have screw
issue happen
get charge
money account
want want
arrive time
driver message
be late
card grubhub
minute wait
example order
order example
horrible use
person say
spend uber
restaurant say
be deliver
see refund
other food
company do
suppose get
love service
one use
have complaint
activity be
ad be
be okay
be prompt
be reasonable
be separate
be short
be sure
be suspicious
be transfer
bread be
glad be
manager be
manner be
wan be
food bag
delivery people
get someone
find call
explain have
happen try
call uber
put order
be best
do see
take food
tell need
policy do
time waste
be good
app start
everything be
item contact
credit money
able use
old order
screw order
tonight order
check order
say put
have reach
delivery show
fix customer
drive get
able refund
more item
other place
service offer
have click
call doordash
go keep
pick order
refund credit
think be
item pay
grubhub doordash
point do
time last
experience doordash
account call
tip delivery
dollar order
pay uber
half get
sorry be
be treat
be delay
do arrive
minute minute
deliver call
grubhub account
app refuse
driver only
want food
process order
pas do
get home
food deliver
go help
business uber
different time
give tip
be crap
be trash
apps have
app love
hour find
food night
half food
charge item
wish be
refund send
others be
message get
be way
go door
give driver
have screen
be charge
get expensive
be incorrect
least delivery
next driver
support take
order meal
make other
restaurant dasher
fee other
dasher do
cancel minute
minute cancel
food understand
issue doordash
be final
be ubers
child be
client be
complex be
girlfriend be
while be
new delivery
find customer
be resolve
have pay
order worth
second order
