s_id,r_id,app_name,app_id,date,title,review,pos,rating
26,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,the time stamp would be to drop my second delivery off first at 338 but my first delivery time stamp would be 336 how is that even possible,"[('time', 'n'), ('stamp', 'n'), ('be', 'v'), ('drop', 'v'), ('second', 'a'), ('delivery', 'n'), ('first', 'a'), ('first', 'a'), ('delivery', 'n'), ('time', 'n'), ('stamp', 'n'), ('be', 'v'), ('be', 'v'), ('possible', 'a')]",1
27,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,i had numerous deliveries like this one,"[('i', 'n'), ('have', 'v'), ('numerous', 'a'), ('delivery', 'n'), ('one', 'n')]",1
28,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,they will constantly send me alerts about delivering orders late but how when this is what the appssystem suggests me to do,"[('send', 'v'), ('alert', 'n'), ('deliver', 'v'), ('order', 'n'), ('be', 'v'), ('appssystem', 'n'), ('suggest', 'v'), ('do', 'v')]",1
29,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,i am only following what is giving to me,"[('i', 'n'), ('be', 'v'), ('follow', 'v'), ('be', 'v'), ('give', 'v')]",1
30,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,also you would get a delivery request but the restaurant would just be getting it when you arrive and you you will have to wait for the order to be done,"[('get', 'v'), ('delivery', 'n'), ('request', 'n'), ('restaurant', 'n'), ('be', 'v'), ('get', 'v'), ('arrive', 'v'), ('have', 'v'), ('wait', 'v'), ('order', 'n'), ('be', 'v'), ('do', 'v')]",1
31,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,i put in the app order not started until i arrived  you would think they will adjust your time stamp to deliver,"[('i', 'n'), ('put', 'v'), ('app', 'n'), ('order', 'n'), ('start', 'v'), ('i', 'n'), ('arrive', 'v'), ('think', 'v'), ('adjust', 'v'), ('time', 'n'), ('stamp', 'n'), ('deliver', 'v')]",1
32,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,you cannot put a time on how fast food is prepared,"[('put', 'v'), ('time', 'n'), ('fast', 'a'), ('food', 'n'), ('be', 'v'), ('prepared', 'a')]",1
33,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,a lot of things needs to be updated so future drivers like myself will not have such a headache when trying to make a living,"[('lot', 'n'), ('thing', 'n'), ('need', 'n'), ('be', 'v'), ('update', 'v'), ('future', 'a'), ('driver', 'n'), ('have', 'v'), ('such', 'a'), ('headache', 'n'), ('try', 'v'), ('make', 'v'), ('living', 'n')]",1
34,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,i started this in july and i am already blocked in september and as of currently still no response or update regarding my account,"[('i', 'n'), ('start', 'v'), ('july', 'n'), ('i', 'a'), ('be', 'v'), ('block', 'v'), ('september', 'n'), ('response', 'n'), ('update', 'n'), ('regard', 'v'), ('account', 'n')]",1
35,1,grubhub,302920553,2022-11-06 07:44:28,Will block you for anything,you guys should get customer service employees to help with blocked accounts instead of having drivers waiting and responding to emails that never receive a reply,"[('guy', 'n'), ('get', 'v'), ('customer', 'n'), ('service', 'n'), ('employee', 'n'), ('help', 'v'), ('blocked', 'a'), ('account', 'n'), ('have', 'v'), ('driver', 'n'), ('wait', 'v'), ('respond', 'v'), ('email', 'v'), ('receive', 'v'), ('reply', 'n')]",1
36,2,grubhub,302920553,2022-09-26 16:54:30,Used to love GrubHub until I was hacked,i have used grubhub for years and thought it was great,"[('i', 'n'), ('have', 'v'), ('use', 'v'), ('grubhub', 'n'), ('year', 'n'), ('think', 'v'), ('be', 'v'), ('great', 'a')]",4
37,2,grubhub,302920553,2022-09-26 16:54:30,Used to love GrubHub until I was hacked,unfortunately my account got hacked and someone used my account to order 40 worth of food and then changed the email on the account so they could change the password,"[('account', 'n'), ('get', 'v'), ('hack', 'v'), ('someone', 'n'), ('use', 'v'), ('account', 'n'), ('order', 'n'), ('worth', 'n'), ('food', 'n'), ('change', 'v'), ('email', 'n'), ('account', 'n'), ('change', 'v'), ('password', 'n')]",4
38,2,grubhub,302920553,2022-09-26 16:54:30,Used to love GrubHub until I was hacked,as soon as i noticed the charges and reported it to customer care i got an email saying they moved my inquiry to priority due to the serious nature of the concern and that they would be in contact with me shortly,"[('i', 'n'), ('notice', 'v'), ('charge', 'n'), ('report', 'v'), ('customer', 'n'), ('care', 'n'), ('i', 'n'), ('get', 'v'), ('email', 'n'), ('say', 'v'), ('move', 'v'), ('inquiry', 'n'), ('priority', 'n'), ('due', 'a'), ('serious', 'a'), ('nature', 'n'), ('concern', 'n'), ('be', 'v'), ('contact', 'n')]",4
39,2,grubhub,302920553,2022-09-26 16:54:30,Used to love GrubHub until I was hacked,the email also suggested i reset my password if possible but i cannot since the hacker changed my account info,"[('email', 'n'), ('suggest', 'v'), ('i', 'a'), ('reset', 'v'), ('password', 'n'), ('possible', 'a'), ('i', 'n'), ('hacker', 'n'), ('change', 'v'), ('account', 'n'), ('info', 'n')]",4
40,2,grubhub,302920553,2022-09-26 16:54:30,Used to love GrubHub until I was hacked,days go by and nothing,"[('day', 'n'), ('go', 'v'), ('nothing', 'n')]",4
41,2,grubhub,302920553,2022-09-26 16:54:30,Used to love GrubHub until I was hacked,i sent an email on the same thread asking for an update and a refund and still nothing,"[('i', 'n'), ('send', 'v'), ('email', 'n'), ('same', 'a'), ('thread', 'n'), ('ask', 'v'), ('update', 'n'), ('refund', 'n'), ('nothing', 'n')]",4
42,2,grubhub,302920553,2022-09-26 16:54:30,Used to love GrubHub until I was hacked,it is been about 2 weeks and i still have not received a response,"[('be', 'v'), ('be', 'v'), ('week', 'n'), ('i', 'n'), ('have', 'v'), ('receive', 'v'), ('response', 'n')]",4
43,2,grubhub,302920553,2022-09-26 16:54:30,Used to love GrubHub until I was hacked,i was able to remove my payment from my account luckily but now i still cannot use my account because of the account log in changeeditthe same day i posted this review grubhub got back to me and sent me a refund and helped solve my issue so i adjusted my rating,"[('i', 'n'), ('be', 'v'), ('able', 'a'), ('remove', 'v'), ('payment', 'n'), ('account', 'n'), ('i', 'v'), ('use', 'v'), ('account', 'n'), ('account', 'n'), ('log', 'n'), ('changeeditthe', 'a'), ('same', 'a'), ('day', 'n'), ('i', 'v'), ('post', 'v'), ('review', 'n'), ('grubhub', 'n'), ('get', 'v'), ('send', 'v'), ('refund', 'n'), ('help', 'v'), ('solve', 'v'), ('issue', 'n'), ('adjust', 'v'), ('rating', 'n')]",4
44,2,grubhub,302920553,2022-09-26 16:54:30,Used to love GrubHub until I was hacked,i do think that serious matters like this should be handled quicker but do appreciate them handling the situation in a fair manner,"[('i', 'n'), ('do', 'v'), ('think', 'v'), ('serious', 'a'), ('matter', 'n'), ('be', 'v'), ('handle', 'v'), ('quicker', 'n'), ('do', 'v'), ('appreciate', 'v'), ('handle', 'v'), ('situation', 'n'), ('fair', 'a'), ('manner', 'n')]",4
45,3,grubhub,302920553,2022-09-26 20:18:27,"So far, so Good!",today is monday september 26 2022 and this is the second time that i have had an issue with grubhub delivery,"[('today', 'n'), ('be', 'v'), ('monday', 'a'), ('be', 'v'), ('second', 'a'), ('time', 'n'), ('i', 'n'), ('have', 'v'), ('have', 'v'), ('issue', 'n'), ('grubhub', 'a'), ('delivery', 'n')]",1
46,3,grubhub,302920553,2022-09-26 20:18:27,"So far, so Good!",i have been tracking this driver and he or she has been driving around in my neighborhood and did not even bother to  get to my address so therefore i felt that my food would have  been cold upon arrival and now it was abruptly cancelled so now i am reordering once  again i am a senior citizen and i am disabled the name of the complex is mayflower gardens senior apartments,"[('i', 'n'), ('have', 'v'), ('be', 'v'), ('track', 'v'), ('driver', 'n'), ('have', 'v'), ('be', 'v'), ('drive', 'v'), ('neighborhood', 'n'), ('do', 'v'), ('bother', 'a'), ('get', 'v'), ('address', 'n'), ('i', 'a'), ('felt', 'v'), ('food', 'n'), ('have', 'v'), ('be', 'v'), ('cold', 'a'), ('arrival', 'n'), ('be', 'v'), ('cancel', 'v'), ('i', 'v'), ('be', 'v'), ('reorder', 'v'), ('i', 'a'), ('be', 'v'), ('senior', 'a'), ('citizen', 'n'), ('i', 'n'), ('be', 'v'), ('disable', 'v'), ('name', 'n'), ('complex', 'n'), ('be', 'v'), ('mayflower', 'a'), ('garden', 'n'), ('senior', 'a'), ('apartment', 'n')]",1
47,3,grubhub,302920553,2022-09-26 20:18:27,"So far, so Good!",i wished that the driver would keep in mind that some of us older customers are not as quick to get to the door and we are not dumb or stupid,"[('i', 'n'), ('wish', 'v'), ('driver', 'n'), ('keep', 'v'), ('mind', 'n'), ('old', 'a'), ('customer', 'n'), ('be', 'v'), ('quick', 'n'), ('get', 'v'), ('door', 'n'), ('be', 'v'), ('dumb', 'a'), ('stupid', 'a')]",1
48,3,grubhub,302920553,2022-09-26 20:18:27,"So far, so Good!",i know know how to read apps and i know my directionswhen they come and some of them in the past will abruptly leave your order at the door on the ground and not even bother to knock,"[('i', 'n'), ('know', 'v'), ('know', 'v'), ('read', 'v'), ('apps', 'n'), ('i', 'n'), ('know', 'v'), ('directionswhen', 'n'), ('come', 'v'), ('past', 'n'), ('leave', 'v'), ('order', 'n'), ('door', 'n'), ('ground', 'n'), ('bother', 'a'), ('knock', 'v')]",1
49,3,grubhub,302920553,2022-09-26 20:18:27,"So far, so Good!",i am requesting a reorder once again because i have tracked the last driver and he or she was in my neighborhood and i am not sure if they were lost or not but it would be nice if they were use the gps system more effectively so that they can find my address,"[('i', 'n'), ('be', 'v'), ('request', 'v'), ('reorder', 'n'), ('i', 'n'), ('have', 'v'), ('track', 'v'), ('last', 'a'), ('driver', 'n'), ('be', 'v'), ('neighborhood', 'n'), ('i', 'n'), ('be', 'v'), ('sure', 'a'), ('be', 'v'), ('lose', 'v'), ('be', 'v'), ('nice', 'a'), ('be', 'v'), ('use', 'v'), ('gps', 'n'), ('system', 'n'), ('find', 'v'), ('address', 'n')]",1
50,3,grubhub,302920553,2022-09-26 20:18:27,"So far, so Good!",please know that  is why i am really hesitant to order with you in the near future if this continues to happen,"[('please', 'n'), ('know', 'v'), ('be', 'v'), ('i', 'a'), ('be', 'v'), ('hesitant', 'a'), ('order', 'n'), ('near', 'a'), ('future', 'n'), ('continue', 'v'), ('happen', 'v')]",1
51,3,grubhub,302920553,2022-09-26 20:18:27,"So far, so Good!",needless to say i am not happy at this timei noticed that a female driver will be delivering my order shortly and i hope that it will arrive in time,"[('needless', 'a'), ('say', 'v'), ('i', 'n'), ('be', 'v'), ('happy', 'a'), ('timei', 'n'), ('notice', 'v'), ('female', 'a'), ('driver', 'n'), ('be', 'v'), ('deliver', 'v'), ('order', 'n'), ('i', 'v'), ('hope', 'v'), ('arrive', 'v'), ('time', 'n')]",1
52,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,this company is one of the worst i have ever dealt with,"[('company', 'n'), ('be', 'v'), ('bad', 'a'), ('i', 'n'), ('have', 'v'), ('deal', 'v')]",1
53,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,late all the time,"[('time', 'n')]",1
54,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,often the math does not add up,"[('math', 'n'), ('do', 'v'), ('add', 'v')]",1
55,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,they gave me a 5 promo for being late but it only gave me 1 and change off,"[('give', 'v'), ('promo', 'n'), ('be', 'v'), ('late', 'a'), ('give', 'v'), ('change', 'v')]",1
57,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,the order will come to one thing but they charge the bank another,"[('order', 'n'), ('come', 'v'), ('thing', 'n'), ('charge', 'v'), ('bank', 'n')]",1
58,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,i canceled last yr but ended up with a free year long plus membership then i got hurt so cannot drive so i use it a lot now,"[('i', 'n'), ('cancel', 'v'), ('last', 'a'), ('yr', 'n'), ('end', 'v'), ('free', 'a'), ('year', 'n'), ('membership', 'n'), ('i', 'v'), ('get', 'v'), ('hurt', 'v'), ('drive', 'v'), ('i', 'a'), ('use', 'v'), ('lot', 'n')]",1
59,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,it is rare i have a seamless order,"[('be', 'v'), ('rare', 'a'), ('i', 'n'), ('have', 'v'), ('seamless', 'n'), ('order', 'n')]",1
60,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,just now i am waiting for my food for an hr get a call from a man i could not understand and he just hangs up on me when i said sorry i did not catch that,"[('i', 'v'), ('be', 'v'), ('wait', 'v'), ('food', 'n'), ('hr', 'n'), ('get', 'v'), ('call', 'n'), ('man', 'n'), ('i', 'n'), ('understand', 'v'), ('hang', 'v'), ('i', 'n'), ('say', 'v'), ('sorry', 'a'), ('i', 'n'), ('do', 'v'), ('catch', 'v')]",1
61,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,very thick accent in a very loud call center,"[('thick', 'a'), ('accent', 'n'), ('loud', 'a'), ('call', 'n'), ('center', 'n')]",1
62,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,then i see my order was canceled i had promos on the order from the last time they messed up and now those are not valid,"[('i', 'n'), ('see', 'v'), ('order', 'n'), ('be', 'v'), ('cancel', 'v'), ('i', 'n'), ('have', 'v'), ('promos', 'v'), ('order', 'n'), ('last', 'a'), ('time', 'n'), ('mess', 'v'), ('be', 'v'), ('valid', 'a')]",1
63,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,i reordered from another restaurant and the driver did not bring the drinks  give us forks or sauce,"[('i', 'n'), ('reorder', 'v'), ('restaurant', 'n'), ('driver', 'n'), ('do', 'v'), ('bring', 'v'), ('drink', 'n'), ('give', 'v'), ('fork', 'v'), ('sauce', 'v')]",1
64,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,also knocked when i said to no contact,"[('knock', 'v'), ('i', 'n'), ('say', 'v'), ('contact', 'n')]",1
65,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,i had one driver last year flip off my camera for absolutely no reason,"[('i', 'n'), ('have', 'v'), ('driver', 'n'), ('last', 'a'), ('year', 'n'), ('flip', 'v'), ('camera', 'n'), ('reason', 'n')]",1
66,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,i tip 25,"[('i', 'a'), ('tip', 'v')]",1
67,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,i definitely will not be using it after my free year ends this february,"[('i', 'n'), ('be', 'v'), ('use', 'v'), ('free', 'a'), ('year', 'n'), ('end', 'v'), ('february', 'a')]",1
68,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,i was formally a paid grubhub  customer,"[('i', 'n'), ('be', 'v'), ('paid', 'n'), ('grubhub', 'n'), ('customer', 'n')]",1
69,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,i order out probably 15 to 20 times a month due to my physical pain,"[('i', 'n'), ('order', 'n'), ('time', 'n'), ('month', 'n'), ('due', 'a'), ('physical', 'a'), ('pain', 'n')]",1
70,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,it is easier than cooking and cleaning dishes,"[('be', 'v'), ('easy', 'a'), ('cooking', 'n'), ('cleaning', 'n'), ('dish', 'n')]",1
71,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,but i will  find other ways like pizza delivery or doordash,"[('i', 'n'), ('find', 'v'), ('other', 'a'), ('way', 'n'), ('pizza', 'n'), ('delivery', 'n'), ('doordash', 'n')]",1
72,4,grubhub,302920553,2022-11-01 20:34:29,Ugh,which is not much better but still better,"[('be', 'v'), ('much', 'a'), ('good', 'a')]",1
73,5,grubhub,302920553,2022-11-06 22:35:01,Was not able to place an order,i do not use grubhub much but when i do use it it is always a problem placing an order,"[('i', 'n'), ('do', 'v'), ('use', 'v'), ('grubhub', 'a'), ('i', 'n'), ('do', 'v'), ('be', 'v'), ('problem', 'n'), ('place', 'v'), ('order', 'n')]",1
74,5,grubhub,302920553,2022-11-06 22:35:01,Was not able to place an order,i spent over an hour trying to place an order and my order kept being cancelled for no reason,"[('i', 'a'), ('spend', 'v'), ('hour', 'n'), ('try', 'v'), ('place', 'v'), ('order', 'n'), ('order', 'n'), ('keep', 'v'), ('be', 'v'), ('cancel', 'v'), ('reason', 'n')]",1
75,5,grubhub,302920553,2022-11-06 22:35:01,Was not able to place an order,i tried different restaurants different payment cards tried the app and internet browser but no luck,"[('try', 'v'), ('different', 'a'), ('restaurant', 'n'), ('different', 'a'), ('payment', 'n'), ('card', 'n'), ('try', 'v'), ('app', 'n'), ('internet', 'n'), ('browser', 'n'), ('luck', 'n')]",1
76,5,grubhub,302920553,2022-11-06 22:35:01,Was not able to place an order,the generic and un useful message i would get would be reason for cancellation unfortunately we are unable to fulfill this order and that is all,"[('generic', 'a'), ('un', 'a'), ('useful', 'a'), ('message', 'n'), ('i', 'n'), ('get', 'v'), ('be', 'v'), ('reason', 'n'), ('cancellation', 'n'), ('be', 'v'), ('unable', 'a'), ('fulfill', 'v'), ('order', 'n'), ('be', 'v')]",1
77,5,grubhub,302920553,2022-11-06 22:35:01,Was not able to place an order,another brief message i would get is to call customer service if the problem continues but could not find a customer service number anywhere,"[('brief', 'a'), ('message', 'n'), ('i', 'n'), ('get', 'v'), ('be', 'v'), ('call', 'v'), ('customer', 'n'), ('service', 'n'), ('problem', 'n'), ('continue', 'v'), ('find', 'v'), ('customer', 'n'), ('service', 'n'), ('number', 'n')]",1
78,5,grubhub,302920553,2022-11-06 22:35:01,Was not able to place an order,i finally found the customer service number by reading the reviews i called and the customer service person working from home had a rooster that can be heard in the background,"[('i', 'n'), ('find', 'v'), ('customer', 'n'), ('service', 'n'), ('number', 'n'), ('read', 'v'), ('review', 'n'), ('i', 'n'), ('call', 'v'), ('customer', 'n'), ('service', 'n'), ('person', 'n'), ('work', 'v'), ('home', 'n'), ('have', 'v'), ('rooster', 'n'), ('be', 'v'), ('hear', 'v'), ('background', 'n')]",1
79,5,grubhub,302920553,2022-11-06 22:35:01,Was not able to place an order,the rep did not offer any troubleshooting and or solution to get my order only said he would escalated to a supervisor and it can take up to 24hrs for them to get back to me or resolve it,"[('rep', 'n'), ('do', 'v'), ('offer', 'v'), ('troubleshooting', 'n'), ('solution', 'n'), ('get', 'v'), ('order', 'n'), ('say', 'v'), ('escalate', 'v'), ('supervisor', 'n'), ('take', 'v'), ('get', 'v'), ('resolve', 'v')]",1
82,5,grubhub,302920553,2022-11-06 22:35:01,Was not able to place an order,the only solution i given to me was that i can go in person to the restaurant or call them directly,"[('only', 'a'), ('solution', 'n'), ('i', 'n'), ('give', 'v'), ('be', 'v'), ('i', 'n'), ('go', 'v'), ('person', 'n'), ('restaurant', 'n'), ('call', 'v')]",1
83,5,grubhub,302920553,2022-11-06 22:35:01,Was not able to place an order,i wanted the convenience of not going out and having my food delivered but it turned into a mission,"[('i', 'n'), ('want', 'v'), ('convenience', 'n'), ('go', 'v'), ('have', 'v'), ('food', 'n'), ('deliver', 'v'), ('turn', 'v'), ('mission', 'n')]",1
84,5,grubhub,302920553,2022-11-06 22:35:01,Was not able to place an order,i used a different app and i was able to place an order without any problems,"[('i', 'n'), ('use', 'v'), ('different', 'a'), ('app', 'n'), ('i', 'n'), ('be', 'v'), ('able', 'a'), ('place', 'v'), ('order', 'n'), ('problem', 'n')]",1
85,6,grubhub,302920553,2022-12-02 03:33:20,Would give a zero if I could!,terrible service terrible customer service,"[('terrible', 'a'), ('service', 'n'), ('terrible', 'a'), ('customer', 'n'), ('service', 'n')]",1
86,6,grubhub,302920553,2022-12-02 03:33:20,Would give a zero if I could!,order from restaurant website it defaulted to grub hub for delivery,"[('order', 'n'), ('restaurant', 'n'), ('website', 'n'), ('default', 'v'), ('grub', 'v'), ('hub', 'n'), ('delivery', 'n')]",1
87,6,grubhub,302920553,2022-12-02 03:33:20,Would give a zero if I could!,i ordered and received a time range for delivery of 635645 pm,"[('i', 'n'), ('order', 'v'), ('receive', 'v'), ('time', 'n'), ('range', 'n'), ('delivery', 'n'), ('pm', 'n')]",1
88,6,grubhub,302920553,2022-12-02 03:33:20,Would give a zero if I could!,order did not arrive until 803pm,"[('order', 'n'), ('do', 'v'), ('arrive', 'a')]",1
89,6,grubhub,302920553,2022-12-02 03:33:20,Would give a zero if I could!,food was worse than cold,"[('food', 'n'), ('be', 'v'), ('bad', 'a'), ('cold', 'n')]",1
90,6,grubhub,302920553,2022-12-02 03:33:20,Would give a zero if I could!,the app showed driver 45 min away enroute to order,"[('app', 'n'), ('show', 'v'), ('min', 'n'), ('enroute', 'v'), ('order', 'n')]",1
91,6,grubhub,302920553,2022-12-02 03:33:20,Would give a zero if I could!,then showed driver in another parking lot down the road hovering forever,"[('show', 'v'), ('driver', 'n'), ('parking', 'n'), ('lot', 'n'), ('road', 'n'), ('hovering', 'n'), ('forever', 'n')]",1
92,6,grubhub,302920553,2022-12-02 03:33:20,Would give a zero if I could!,i messaged driver he said he was waiting,"[('i', 'n'), ('message', 'v'), ('driver', 'n'), ('say', 'v'), ('be', 'v'), ('wait', 'v')]",1
93,6,grubhub,302920553,2022-12-02 03:33:20,Would give a zero if I could!,i called restaurant my order was ready,"[('i', 'n'), ('call', 'v'), ('restaurant', 'n'), ('order', 'n'), ('be', 'v'), ('ready', 'a')]",1
94,6,grubhub,302920553,2022-12-02 03:33:20,Would give a zero if I could!,no one was there waiting to pick up,"[('one', 'n'), ('be', 'v'), ('wait', 'v'), ('pick', 'v')]",1
95,6,grubhub,302920553,2022-12-02 03:33:20,Would give a zero if I could!,asked if i could get my food remade as it was ready for quite some time but i would have to reorder and repurchase,"[('ask', 'v'), ('i', 'n'), ('get', 'v'), ('food', 'n'), ('remade', 'n'), ('be', 'v'), ('ready', 'a'), ('time', 'n'), ('i', 'n'), ('have', 'v'), ('reorder', 'v'), ('repurchase', 'v')]",1
